metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478638;50315954;mean;0,05242;0,058844;0,122261;0,061858;0,066721;0,073498;0,070718;0,052721;0,066193;0,074775;0,0700009
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478668;50315955;mean;0,055271;0,055954;0,130744;0,071238;0,068505;0,069813;0,067546;0,060056;0,069829;0,075753;0,0724709
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478698;50315956;mean;0,056399;0,057767;0,138257;0,064768;0,071906;0,081119;0,073395;0,057665;0,073186;0,074029;0,0748491
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478728;50315957;mean;0,055286;0,061248;0,140396;0,059664;0,066686;0,075638;0,07066;0,056817;0,063332;0,075556;0,0725283
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478758;50315958;mean;0,060231;0,057032;0,138555;0,057;0,069655;0,074984;0,070317;0,060159;0,063391;0,077195;0,0728519
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478788;50315959;mean;0,055045;0,057125;0,136998;0,055396;0,06504;0,074009;0,069606;0,063066;0,063874;0,077687;0,0717846
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478818;50315960;mean;0,053164;0,057248;0,144714;0,064575;0,06885;0,069884;0,070773;0,058919;0,067934;0,069709;0,072577
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478848;50315961;mean;0,053757;0,057996;0,141747;0,068987;0,06677;0,077216;0,06873;0,05889;0,064147;0,06779;0,072603
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478878;50315962;mean;0,054885;0,058922;0,1293;0,058857;0,059523;0,067984;0,061584;0,057009;0,064507;0,071647;0,0684218
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478908;50315963;mean;0,052687;0,056616;0,129939;0,06061;0,058048;0,06948;0,061573;0,053171;0,066912;0,075884;0,068492
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478938;50315964;mean;0,05165;0,057674;0,133368;0,067023;0,061641;0,072419;0,066215;0,050431;0,062199;0,084163;0,0706783
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478968;50315965;mean;0,054264;0,058631;0,146822;0,06264;0,06531;0,072657;0,069829;0,05092;0,062428;0,078505;0,0722006
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509478998;50315966;mean;0,055203;0,057763;0,157519;0,063022;0,067168;0,070843;0,068089;0,05367;0,068692;0,079015;0,0740984
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479028;50315967;mean;0,056391;0,058542;0,145894;0,06413;0,064352;0,070843;0,06765;0,054429;0,072339;0,079127;0,0733697
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479058;50315968;mean;0,054598;0,056076;0,141763;0,059606;0,061504;0,079076;0,071888;0,054928;0,067324;0,07329;0,0720053
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479088;50315969;mean;0,051672;0,056403;0,137342;0,055934;0,059632;0,073743;0,067913;0,050617;0,061306;0,072814;0,0687376
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479118;50315970;mean;0,051623;0,05715;0,146018;0,058121;0,062869;0,074987;0,074314;0,0484;0,061949;0,067665;0,0703096
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509479148;50315971;mean;0,050582;0,058659;0,138609;0,056126;0,061688;0,074596;0,072034;0,053381;0,060312;0,065469;0,0691456
