TIMESTAMP - 1508509592	value
24	0
54	0
84	0
114	0
144	0
174	0
204	0
234	0
264	0
294	0
324	0
354	0
384	0
414	0
444	0
474	0
504	0
534	0
564	0
594	0
624	0
654	0
684	9299625
714	9299625
744	9299625
774	9299625
804	9299625
834	9299625
864	9299625
894	9299625
924	9299625
954	9299625
984	9299625
1014	9299625
1044	9299625
1074	9299625
1104	9299625
1134	9299625
1164	9299625
1194	19077838
1224	19077838
1254	19077838
1284	19077838
1314	19077838
1344	19077838
1374	19077838
1404	19077838
1434	19077838
1464	19077838
1494	19077838
1524	19077838
1554	19077838
1584	19077838
1614	19077838
1644	19077838
1674	29088167
1704	29088167
1734	29088167
1764	29088167
1794	29088167
1824	29088167
1854	29088167
1884	29088167
1914	29088167
1944	29088167
1974	29088167
2004	29088167
2034	29088167
2064	29088167
2094	29088167
2124	29088167
2154	29088167
2184	29088167
2214	29088167
2244	29088167
2274	39275922
2304	39275922
2334	39275922
2364	39275922
2394	39275922
2424	39275922
2454	39275922
2484	39275922
2514	39275922
2544	39275922
2574	39275922
2604	39275922
2634	39275922
2664	39275922
2694	39275922
2724	39275922
2754	39275922
2784	39275922
2814	49554783
2844	49554783
2874	49554783
2904	49554783
2934	49554783
2964	49554783
2994	49554783
3024	49554783
3054	49554783
3084	49554783
3114	49554783
3144	49554783
3174	49554783
3204	49554783
3234	49554783
3264	49554783
3294	49554783
3324	49554783
3354	59888965
3384	59888965
3414	59888965
3444	59888965
3474	59888965
3504	59888965
3534	59888965
3564	59888965
3594	59888965
3624	59888965
3654	59888965
3684	59888965
3714	59888965
3744	59888965
3774	59888965
3804	59888965
3834	59888965
3864	70256441
3894	70256441
3924	70256441
3954	70256441
3984	70256441
4014	70256441
4044	70256441
4074	70256441
4104	70256441
4134	70256441
4164	70256441
4194	70256441
4224	70256441
4254	70256441
4284	70256441
4314	70256441
4344	70256441
4374	80643546
4404	80643546
4434	80643546
4464	80643546
4494	80643546
4524	80643546
4554	80643546
4584	80643546
4614	80643546
4644	80643546
4674	80643546
4704	80643546
4734	80643546
4764	80643546
4794	80643546
4824	80643546
4854	91037101
4884	91037101
4914	91037101
4944	91037101
4974	91037101
5004	91037101
5034	91037101
5064	91037101
5094	91037101
5124	91037101
5154	91037101
5184	91037101
5214	91037101
5244	91037101
5274	91037101
5304	91037101
5334	101446781
5364	101446781
5394	101446781
5424	101446781
5454	101446781
5484	101446781
5514	101446781
5544	101446781
5574	101446781
5604	101446781
5634	101446781
5664	101446781
5694	101446781
5724	101446781
5754	101446781
5784	101446781
5814	101446781
5844	101446781
5874	111860854
5904	111860854
5934	111860854
5964	111860854
5994	111860854
6024	111860854
6054	111860854
6084	111860854
6114	111860854
6144	111860854
6174	111860854
6204	111860854
6234	122276002
6264	122276002
6294	122276002
6324	122276002
6354	122276002
6384	122276002
6414	122276002
6444	122276002
6474	122276002
6504	122276002
6534	122276002
6564	122276002
6594	122276002
6624	122276002
6654	122276002
6684	122276002
6714	122276002
6744	131595111
6774	131595111
6804	131595111
6834	131595111
6864	131595111
6894	131595111
6924	131595111
6954	131595111
6984	131595111
7014	131595111
7044	131595111
7074	131595111
7104	131595111
7134	131595111
7164	131595111
7194	131595111
7224	131595111
7254	141417213
7284	141417213
7314	141417213
7344	141417213
7374	141417213
7404	141417213
7434	141417213
7464	141417213
7494	141417213
7524	141417213
7554	141417213
7584	141417213
7614	141417213
7644	141417213
7674	141417213
7704	141417213
7734	141417213
7764	151469612
7794	151469612
7824	151469612
7854	151469612
7884	151469612
7914	151469612
7944	151469612
7974	151469612
8004	151469612
8034	151469612
8064	151469612
8094	151469612
8124	151469612
8154	151469612
8184	151469612
8214	151469612
8244	161641387
8274	161641387
8304	161641387
8334	161641387
8364	161641387
8394	161641387
8424	161641387
8454	161641387
8484	161641387
8514	161641387
8544	161641387
8574	161641387
8604	161641387
8634	161641387
8664	161641387
8694	161641387
8724	171889621
8754	171889621
8784	171889621
8814	171889621
8844	171889621
8874	171889621
8904	171889621
8934	171889621
8964	171889621
8994	171889621
9024	171889621
9054	171889621
9084	171889621
9114	171889621
9144	171889621
9174	171889621
9204	171889621
9234	182190354
9264	182190354
9294	182190354
9324	182190354
9354	182190354
9384	182190354
9414	182190354
9444	182190354
9474	182190354
9504	182190354
9534	182190354
9564	182190354
9594	182190354
9624	182190354
9654	182190354
9684	182190354
9714	182190354
9744	182190354
9774	182190354
9804	192533167
9834	192533167
9864	192533167
9894	192533167
9924	192533167
9954	192533167
9984	192533167
10014	192533167
10044	192533167
10074	192533167
10104	192533167
10134	192533167
10164	192533167
10194	192533167
10224	192533167
10254	192533167
10284	192533167
10314	202907341
10344	202907341
10374	202907341
10404	202907341
10434	202907341
10464	202907341
10494	202907341
10524	202907341
10554	202907341
10584	202907341
10614	202907341
10644	202907341
10674	202907341
10704	202907341
10734	202907341
10764	202907341
10794	202907341
10824	202907341
10854	213297857
10884	213297857
10914	213297857
10944	213297857
10974	213297857
11004	213297857
11034	213297857
11064	213297857
11094	213297857
11124	213297857
11154	213297857
11184	213297857
11214	213297857
11244	213297857
11274	213297857
11304	213297857
11334	223699309
11364	223699309
11394	223699309
11424	223699309
11454	223699309
11484	223699309
11514	223699309
11544	223699309
11574	223699309
11604	223699309
11634	223699309
11664	223699309
11694	223699309
11724	223699309
11754	223699309
11784	223699309
11814	234111604
11844	234111604
11874	234111604
11904	234111604
11934	234111604
11964	234111604
11994	234111604
12024	234111604
12054	234111604
12084	234111604
12114	234111604
12144	234111604
12174	234111604
12204	234111604
12234	234111604
12264	234111604
12294	244529212
12324	244529212
12354	244529212
12384	244529212
12414	244529212
12444	244529212
12474	244529212
12504	244529212
12534	244529212
12564	244529212
12594	244529212
12624	244529212
12654	244529212
12684	244529212
12714	244529212
12744	244529212
12774	244529212
12804	244529212
12834	254949001
12864	254949001
12894	254949001
12924	254949001
12954	254949001
12984	254949001
13014	254949001
13044	254949001
13074	254949001
13104	254949001
13134	254949001
13164	254949001
13194	254949001
13224	254949001
13254	254949001
13284	254949001
13314	254949001
13344	254949001
13374	264305962
13404	264305962
13434	264305962
13464	264305962
13494	264305962
13524	264305962
13554	264305962
13584	264305962
13614	264305962
13644	264305962
13674	264305962
13704	264305962
13734	264305962
13764	264305962
13794	264305962
13824	264305962
13854	264305962
13884	264305962
13914	274141460
13944	274141460
13974	274141460
14004	274141460
14034	274141460
14064	274141460
14094	274141460
14124	274141460
14154	274141460
14184	274141460
14214	274141460
14244	274141460
14274	274141460
14304	274141460
14334	274141460
14364	274141460
14394	274141460
14424	284187729
14454	284187729
14484	284187729
14514	284187729
14544	284187729
14574	284187729
14604	284187729
14634	284187729
14664	284187729
14694	284187729
14724	284187729
14754	284187729
14784	284187729
14814	284187729
14844	284187729
14874	284187729
14904	284187729
14934	294365623
14964	294365623
14994	294365623
15024	294365623
15054	294365623
15084	294365623
15114	294365623
15144	294365623
15174	294365623
15204	294365623
15234	294365623
15264	294365623
15294	294365623
15324	294365623
15354	294365623
15384	294365623
15414	304606084
15444	304606084
15474	304606084
15504	304606084
15534	304606084
15564	304606084
15594	304606084
15624	304606084
15654	304606084
15684	304606084
15714	304606084
15744	304606084
15774	304606084
15804	304606084
15834	304606084
15864	304606084
15894	314918115
15924	314918115
15954	314918115
15984	314918115
16014	314918115
16044	314918115
16074	314918115
16104	314918115
16134	314918115
16164	314918115
16194	314918115
16224	314918115
16254	314918115
16284	314918115
16314	314918115
16344	314918115
16374	314918115
16404	325269156
16434	325269156
16464	325269156
16494	325269156
16524	325269156
16554	325269156
16584	325269156
16614	325269156
16644	325269156
16674	325269156
16704	325269156
16734	325269156
16764	325269156
16794	325269156
16824	325269156
16854	325269156
16884	325269156
16914	325269156
16944	325269156
16974	335635588
17004	335635588
17034	335635588
17064	335635588
17094	335635588
17124	335635588
17154	335635588
17184	335635588
17214	335635588
17244	335635588
17274	335635588
17304	335635588
17334	335635588
17364	335635588
17394	335635588
17424	335635588
17454	335635588
17484	346027913
17514	346027913
17544	346027913
17574	346027913
17604	346027913
17634	346027913
17664	346027913
17694	346027913
17724	346027913
17754	346027913
17784	346027913
17814	346027913
17844	346027913
17874	346027913
17904	346027913
17934	346027913
17964	346027913
17994	346027913
18024	356434337
18054	356434337
18084	356434337
18114	356434337
18144	356434337
18174	356434337
18204	356434337
18234	356434337
18264	356434337
18294	356434337
18324	356434337
18354	356434337
18384	356434337
18414	356434337
18444	356434337
18474	356434337
18504	366850467
18534	366850467
18564	366850467
18594	366850467
18624	366850467
18654	366850467
18684	366850467
18714	366850467
18744	366850467
18774	366850467
18804	366850467
