"TIMESTAMP - 1508509592	value";
3;0
33;0
63;0
93;0
123;0
153;0
183;0
213;0
243;0
273;0
303;0
333;0
363;0
393;0
423;0
453;0
483;0
513;0
543;0
573;0
603;0
633;9353872
663;9353872
693;9353872
723;9353872
753;9353872
783;9353872
813;9353872
843;9353872
873;9353872
903;9353872
933;9353872
963;9353872
993;9353872
1023;9353872
1053;9353872
1083;19250976
1113;19250976
1143;19250976
1173;19250976
1203;19250976
1233;19250976
1263;19250976
1293;19250976
1323;19250976
1353;19250976
1383;19250976
1413;19250976
1443;19250976
1473;19250976
1503;19250976
1533;29397696
1563;29397696
1593;29397696
1623;29397696
1653;29397696
1683;29397696
1713;29397696
1743;29397696
1773;29397696
1803;29397696
1833;29397696
1863;29397696
1893;29397696
1923;29397696
1953;29397696
1983;29397696
2013;29397696
2043;29397696
2073;39705872
2103;39705872
2133;39705872
2163;39705872
2193;39705872
2223;39705872
2253;39705872
2283;39705872
2313;39705872
2343;39705872
2373;39705872
2403;39705872
2433;39705872
2463;39705872
2493;39705872
2523;39705872
2553;39705872
2583;50116152
2613;50116152
2643;50116152
2673;50116152
2703;50116152
2733;50116152
2763;50116152
2793;50116152
2823;50116152
2853;50116152
2883;50116152
2913;50116152
2943;50116152
2973;50116152
3003;50116152
3033;50116152
3063;60590756
3093;60590756
3123;60590756
3153;60590756
3183;60590756
3213;60590756
3243;60590756
3273;60590756
3303;60590756
3333;60590756
3363;60590756
3393;60590756
3423;60590756
3453;60590756
3483;60590756
3513;60590756
3543;60590756
3573;71105631
3603;71105631
3633;71105631
3663;71105631
3693;71105631
3723;71105631
3753;71105631
3783;71105631
3813;71105631
3843;71105631
3873;71105631
3903;71105631
3933;71105631
3963;71105631
3993;71105631
4023;71105631
4053;81648580
4083;81648580
4113;81648580
4143;81648580
4173;81648580
4203;81648580
4233;81648580
4263;81648580
4293;81648580
4323;81648580
4353;81648580
4383;81648580
4413;81648580
4443;81648580
4473;81648580
4503;92211034
4533;92211034
4563;92211034
4593;92211034
4623;92211034
4653;92211034
4683;92211034
4713;92211034
4743;92211034
4773;92211034
4803;92211034
4833;92211034
4863;92211034
4893;92211034
4923;92211034
4953;102789675
4983;102789675
5013;102789675
5043;102789675
5073;102789675
5103;102789675
5133;102789675
5163;102789675
5193;102789675
5223;102789675
5253;102789675
5283;102789675
5313;102789675
5343;102789675
5373;113373753
5403;113373753
5433;113373753
5463;113373753
5493;113373753
5523;113373753
5553;113373753
5583;113373753
5613;113373753
5643;113373753
5673;113373753
5703;113373753
5733;113373753
5763;113373753
5793;113373753
5823;113373753
5853;113373753
5883;113373753
5913;123964281
5943;123964281
5973;123964281
6003;123964281
6033;123964281
6063;123964281
6093;123964281
6123;123964281
6153;123964281
6183;123964281
6213;123964281
6243;123964281
6273;134557021
6303;134557021
6333;134557021
6363;134557021
6393;134557021
6423;134557021
6453;134557021
6483;134557021
