t,count
1508170397,0
1508170427,0
1508170457,0
1508170487,0
1508170517,0
1508170547,7797563
1508170577,7797563
1508170607,7797563
1508170637,7797563
1508170667,7797563
1508170697,15534381
1508170727,15534381
1508170757,15534381
1508170787,15534381
1508170817,15534381
1508170847,23272160
1508170877,23272160
1508170907,23272160
1508170937,23272160
1508170967,31016520
1508170997,10224101
1508171027,10224101
1508171057,10224101
1508171087,10224101
1508171117,17921946
1508171147,17921946
1508171177,17921946
1508171207,17921946
1508171237,17921946
1508171267,25633860
1508171297,25633860
1508171327,25633860
1508171357,25633860
1508171387,33279490
1508171417,10783266
1508171447,10783266
1508171477,10783266
1508171507,10783266
1508171537,18441836
1508171567,18441836
1508171597,18441836
1508171627,18441836
1508171657,18441836
1508171687,26058553
1508171717,26058553
1508171747,26058553
1508171777,26058553
1508171807,11068886
1508171837,11068886
1508171867,11068886
1508171897,11068886
1508171927,11068886
1508171957,18702185
1508171987,18702185
1508172017,18702185
1508172047,18702185
1508172077,18725119
1508172107,18725119
1508172137,18725119
1508172167,18725119
1508172197,26270258
1508172227,26270258
1508172257,26270258
1508172287,26270258
1508172317,26270258
1508172347,33802691
1508172377,33802691
1508172407,33802691
1508172437,33802691
1508172467,21186901
1508172497,21186901
1508172527,21186901
1508172557,21186901
1508172587,21186901
1508172617,28696379
1508172647,28696379
1508172677,28696379
1508172707,28696379
1508172737,36196029
1508172767,36196029
1508172797,36196029
1508172827,36196029
1508172857,21817865
1508172887,21817865
1508172917,21817865
1508172947,21817865
1508172977,29254676
1508173007,29254676
1508173037,29254676
1508173067,29254676
1508173097,29254676
1508173127,36703812
1508173157,36703812
1508173187,36703812
1508173217,36703812
1508173247,22124739
1508173277,22124739
1508173307,22124739
1508173337,22124739
1508173367,29512336
1508173397,29512336
1508173427,29512336
1508173457,29512336
1508173487,36901952
1508173517,36901952
1508173547,36901952
1508173577,36901952
1508173607,22292120
1508173637,22292120
1508173667,22292120
1508173697,22292120
1508173727,29709618
1508173757,29709618
1508173787,29709618
1508173817,29709618
1508173847,37055325
1508173877,37055325
1508173907,37055325
1508173937,37055325
1508173967,37055325
1508173997,37055325
1508174027,22425200
1508174057,22425200
1508174087,22425200
1508174117,22425200
1508174147,22425200
1508174177,30177156
1508174207,30177156
1508174237,30177156
1508174267,30177156
1508174297,37962365
1508174327,37962365
1508174357,37962365
1508174387,37962365
1508174417,37962365
1508174447,22512648
1508174477,22512648
1508174507,22512648
1508174537,22512648
1508174567,22512648
1508174597,30237644
1508174627,30237644
1508174657,30237644
1508174687,30237644
1508174717,37949802
1508174747,37949802
1508174777,37949802
1508174807,37949802
1508174837,37949802
1508174867,22577357
1508174897,22577357
1508174927,22577357
1508174957,22577357
1508174987,22577357
1508175017,30237793
1508175047,30237793
1508175077,30237793
1508175107,30237793
1508175137,37883260
1508175167,37883260
1508175197,37883260
1508175227,37883260
1508175257,37883260
1508175287,22618517
1508175317,22618517
1508175347,22618517
1508175377,22618517
1508175407,30249715
1508175437,30249715
1508175467,30249715
1508175497,30249715
1508175527,30249715
1508175557,37854755
1508175587,37854755
1508175617,37854755
1508175647,37854755
1508175677,45449415
1508175707,22649880
1508175737,22649880
1508175767,22649880
1508175797,22649880
1508175827,30216798
1508175857,30216798
1508175887,30216798
1508175917,30216798
1508175947,37754804
1508175977,37754804
1508176007,37754804
1508176037,37754804
1508176067,37754804
1508176097,22682094
1508176127,22682094
1508176157,22682094
1508176187,22682094
1508176217,30180501
1508176247,30180501
1508176277,30180501
1508176307,30180501
1508176337,37667508
1508176367,37667508
1508176397,37667508
1508176427,37667508
1508176457,45138157
1508176487,22703514
1508176517,22703514
1508176547,22703514
1508176577,22703514
1508176607,30155152
1508176637,30155152
1508176667,30155152
1508176697,30155152
1508176727,37605654
1508176757,37605654
1508176787,37605654
1508176817,37605654
1508176847,22708967
1508176877,22708967
1508176907,22708967
1508176937,22708967
1508176967,30114552
1508176997,30114552
1508177027,30114552
1508177057,30114552
1508177087,30114552
1508177117,37502969
1508177147,37502969
1508177177,37502969
1508177207,37502969
1508177237,22716758
1508177267,22716758
1508177297,22716758
1508177327,22716758
1508177357,30088676
1508177387,30088676
1508177417,30088676
1508177447,30088676
1508177477,37433610
1508177507,37433610
1508177537,37433610
1508177567,37433610
1508177597,37433610
1508177627,45441729
1508177657,22725645
1508177687,22725645
1508177717,22725645
1508177747,22725645
1508177777,30473642
1508177807,30473642
1508177837,30473642
1508177867,30473642
1508177897,30473642
1508177927,38268019
1508177957,38268019
1508177987,38268019
1508178017,38268019
1508178047,38268019
1508178077,22739191
1508178107,22739191
1508178137,22739191
1508178167,22739191
1508178197,22739191
1508178227,30458838
1508178257,30458838
1508178287,30458838
1508178317,30458838
1508178347,38145128
1508178377,38145128
1508178407,38145128
1508178437,38145128
1508178467,38145128
1508178497,22743588
1508178527,22743588
1508178557,22743588
1508178587,22743588
1508178617,22743588
1508178647,30414212
1508178677,30414212
1508178707,30414212
1508178737,30414212
1508178767,38069084
1508178797,38069084
1508178827,38069084
1508178857,38069084
1508178887,38069084
1508178917,22744748
1508178947,22744748
1508178977,22744748
1508179007,22744748
1508179037,30368127
1508179067,30368127
1508179097,30368127
1508179127,30368127
1508179157,37931331
1508179187,37931331
1508179217,37931331
1508179247,37931331
1508179277,37931331
1508179307,22744902
1508179337,22744902
1508179367,22744902
1508179397,22744902
1508179427,30326473
1508179457,30326473
1508179487,30326473
1508179517,30326473
1508179547,30326473
1508179577,37871215
1508179607,37871215
1508179637,37871215
1508179667,37871215
1508179697,22748964
1508179727,22748964
1508179757,22748964
1508179787,22748964
1508179817,30256110
1508179847,30256110
1508179877,30256110
1508179907,30256110
1508179937,30256110
1508179967,37735006
1508179997,37735006
1508180027,37735006
1508180057,37735006
1508180087,23072632
1508180117,23072632
1508180147,23072632
1508180177,23072632
1508180207,30511369
1508180237,30511369
1508180267,30511369
1508180297,30511369
1508180327,37982961
1508180357,37982961
1508180387,37982961
1508180417,37982961
1508180447,37982961
1508180477,23074697
1508180507,23074697
1508180537,23074697
1508180567,23074697
1508180597,30482733
1508180627,30482733
1508180657,30482733
1508180687,30482733
1508180717,37848363
1508180747,37848363
1508180777,37848363
1508180807,37848363
1508180837,23077475
1508180867,23077475
1508180897,23077475
1508180927,23077475
1508180957,30449502
1508180987,30449502
1508181017,30449502
1508181047,30449502
1508181077,37810982
1508181107,37810982
1508181137,37810982
1508181167,37810982
1508181197,37810982
1508181227,45839360
1508181257,23077351
1508181287,23077351
1508181317,23077351
1508181347,23077351
