metric;timestamp;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;min1
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205111;3,838356;3,823401;3,620333;3,681381;3,871203;3,701464;3,910646;3,832675;3,609686;3,635282;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205141;3,811579;3,811396;3,623873;3,647958;3,840548;3,702272;3,935753;3,823708;3,632186;3,606814;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205171;3,813269;3,856852;3,657388;3,691067;3,874686;3,703242;3,945671;3,843654;3,634751;3,670129;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205201;3,790772;3,863693;3,688011;3,683753;3,853493;3,730389;3,965973;3,861462;3,635565;3,695986;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205231;3,826074;3,870273;3,687589;3,678767;3,83753;3,718183;3,946408;3,872506;3,617992;3,710117;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205261;3,810886;3,904004;3,713087;3,664052;3,79889;3,729723;3,950188;3,819787;3,595586;3,719347;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205291;3,835577;3,900854;3,685514;3,679412;3,815255;3,738525;3,918038;3,823716;3,60647;3,714897;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205321;3,857936;3,882127;3,689;3,654784;3,786416;3,752734;3,940493;3,79734;3,573389;3,725157;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205351;3,876578;3,899298;3,684175;3,713222;3,767166;3,73126;3,935096;3,789659;3,573255;3,718843;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205381;3,850697;3,845701;3,679358;3,695179;3,788022;3,69945;3,931198;3,770296;3,548969;3,723579;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205411;3,845382;3,840956;3,690178;3,674427;3,771711;3,681012;3,933516;3,755739;3,526653;3,726265;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205441;3,833425;3,826511;3,671837;3,652019;3,74558;3,671491;3,935393;3,702458;3,517051;3,723257;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205471;3,832395;3,842176;3,621581;3,651378;3,72633;3,654726;3,90276;3,711934;3,534082;3,724803;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205502;3,828245;3,84207;3,615546;3,666723;3,73362;3,64305;3,884759;3,702724;3,519854;3,713356;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205531;3,846227;3,804693;3,619765;3,672437;3,772231;3,659094;3,864604;3,693835;3,523449;3,736876;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205561;3,88631;3,847136;3,651869;3,678391;3,785867;3,689802;3,892044;3,716663;3,55776;3,708298;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205591;3,889147;3,872275;3,649381;3,665752;3,783919;3,678707;3,896522;3,709385;3,592263;3,717625;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205621;3,83153;3,896905;3,652109;3,690928;3,773349;3,683567;3,917157;3,701537;3,583706;3,677497;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205651;3,83426;3,868281;3,655081;3,706333;3,765293;3,677905;3,923069;3,701332;3,567857;3,695582;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205681;3,811342;3,880069;3,665396;3,682898;3,718434;3,668862;3,924295;3,691235;3,554628;3,670615;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205711;3,774704;3,906764;3,674598;3,667798;3,719988;3,66437;3,932507;3,67065;3,561478;3,683652;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205741;3,774811;3,889102;3,639465;3,67189;3,698206;3,634902;3,947592;3,639666;3,566082;3,68083;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205771;3,744964;3,875487;3,633155;3,660562;3,685916;3,6398;3,896789;3,621605;3,560673;3,681636;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205801;3,760593;3,84791;3,626873;3,617191;3,702783;3,617518;3,862946;3,611844;3,545444;3,665802;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205831;3,767219;3,832591;3,625156;3,596987;3,714627;3,615636;3,831757;3,606696;3,526728;3,687946;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205861;3,782308;3,789953;3,622138;3,594689;3,725933;3,606119;3,831813;3,593109;3,500723;3,66561;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205891;3,743415;3,82944;3,642512;3,576519;3,752191;3,619149;3,846197;3,586487;3,527831;3,698137;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205921;3,786425;3,876094;3,669681;3,591043;3,768785;3,615312;3,835374;3,593237;3,564279;3,74372;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205951;3,822812;3,896874;3,674094;3,589309;3,789211;3,618819;3,838483;3,605403;3,579442;3,747182;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205981;3,808855;3,870732;3,674075;3,605795;3,812583;3,605034;3,841321;3,626846;3,5516;3,701914;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206011;3,797303;3,892419;3,655433;3,578179;3,80243;3,600638;3,853311;3,617956;3,573983;3,699754;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206041;3,769837;3,838029;3,621952;3,582207;3,771643;3,576825;3,84172;3,594264;3,571596;3,662604;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206071;3,787916;3,877235;3,624682;3,573568;3,762595;3,567966;3,864547;3,635801;3,580199;3,643225;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206101;3,778304;3,820306;3,625181;3,58271;3,762727;3,566455;3,872513;3,64536;3,579818;3,672296;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206131;3,787679;3,791311;3,655432;3,563649;3,785594;3,554254;3,872227;3,675458;3,545478;3,682258;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206161;3,804144;3,775895;3,632818;3,559132;3,779528;3,577434;3,861043;3,643476;3,516364;3,652886;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206191;3,793994;3,774359;3,614366;3,588762;3,798537;3,539929;3,853824;3,683363;3,532963;3,674211;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206221;3,779859;3,756612;3,626004;3,573649;3,783141;3,554703;3,863865;3,68144;3,499803;3,632177;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206251;3,786924;3,705379;3,618781;3,554559;3,766015;3,551259;3,852884;3,66797;3,511514;3,630025;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206281;3,779328;3,733188;3,599785;3,531923;3,750357;3,551738;3,829313;3,650145;3,481607;3,615872;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206311;3,80263;3,74522;3,61755;3,520938;3,771473;3,551969;3,840807;3,618967;3,482266;3,599174;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206341;3,817291;3,763094;3,610787;3,540973;3,761244;3,555609;3,872394;3,634672;3,479555;3,579518;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206371;3,821869;3,78163;3,611912;3,54619;3,731885;3,559274;3,847081;3,647738;3,497737;3,580177;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206401;3,854765;3,746038;3,635514;3,523931;3,742909;3,581389;3,852005;3,656549;3,51092;3,564244;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206431;3,885584;3,760872;3,63701;3,514425;3,714006;3,621889;3,889556;3,651632;3,513749;3,539323;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206461;3,847718;3,730222;3,597157;3,500813;3,694757;3,604778;3,922619;3,599739;3,478009;3,488736;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206491;3,823153;3,73851;3,61704;3,497415;3,698212;3,576911;3,872945;3,619507;3,479992;3,492341;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206521;3,794845;3,751605;3,620762;3,478947;3,6675;3,594134;3,889026;3,596676;3,490488;3,486165;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206551;3,821124;3,76892;3,597318;3,486085;3,653957;3,610175;3,887846;3,598811;3,522062;3,496858;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206581;3,813161;3,715439;3,596531;3,516235;3,662105;3,566128;3,90083;3,583573;3,509803;3,497389;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206611;3,808346;3,711928;3,605528;3,523333;3,64024;3,578015;3,892984;3,567681;3,519056;3,482392;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206642;3,775312;3,66904;3,58552;3,508373;3,615895;3,572129;3,871033;3,508669;3,489066;3,459984;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206671;3,775219;3,632117;3,590658;3,557262;3,596792;3,545726;3,856462;3,48113;3,453532;3,439868;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206701;3,727931;3,638754;3,577761;3,557493;3,54331;3,544205;3,810918;3,470842;3,43531;3,434512;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206731;3,719637;3,626658;3,576524;3,565539;3,528826;3,542946;3,752492;3,478545;3,436521;3,443566;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206761;3,683003;3,596433;3,533595;3,538146;3,472191;3,552595;3,773313;3,458643;3,447523;3,46638;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206791;3,660715;3,593336;3,522756;3,533495;3,45777;3,560662;3,754342;3,442467;3,460405;3,502558;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206821;3,635869;3,576063;3,533208;3,515037;3,431998;3,593481;3,732723;3,434596;3,451946;3,479726;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206851;3,618322;3,591837;3,547513;3,539649;3,437089;3,59938;3,74831;3,391849;3,43375;3,444394;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206881;3,625227;3,573681;3,549652;3,532764;3,433694;3,56652;3,713885;3,41402;3,430366;3,44734;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206911;3,638421;3,587535;3,520936;3,521582;3,432408;3,567509;3,685904;3,402625;3,461155;3,467843;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206941;3,673214;3,579067;3,528934;3,516118;3,47957;3,566195;3,696403;3,435322;3,452526;3,430558;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511206971;3,679502;3,543602;3,498649;3,504398;3,468135;3,592204;3,693492;3,430671;3,469256;3,447947;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207001;3,68461;3,519199;3,494355;3,521772;3,456136;3,582385;3,694951;3,454774;3,471284;3,460481;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207031;3,699162;3,52476;3,478143;3,529738;3,461695;3,57867;3,723527;3,439822;3,532177;3,495538;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207061;3,688296;3,534914;3,501874;3,534556;3,445512;3,560686;3,726314;3,453681;3,522303;3,47291;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207091;3,71986;3,541418;3,52064;3,54743;3,491805;3,55003;3,712323;3,457259;3,555666;3,503055;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207121;3,67863;3,513671;3,503419;3,563158;3,460105;3,559365;3,764735;3,429935;3,57835;3,489432;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207151;3,683553;3,516543;3,504635;3,533743;3,442634;3,523525;3,73318;3,44863;3,571552;3,503058;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207181;3,647037;3,488594;3,517684;3,511699;3,438053;3,512802;3,73864;3,423396;3,567959;3,48981;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511207211;3,685366;3,507709;3,527134;3,51446;3,41177;3,519808;3,71078;3,415968;3,60149;3,491249;
