metric;timestamp;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;min1
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201481;2,913796;2,852663;3,009924;2,934001;3,10991;2,833413;3,084882;3,084758;2,762808;2,835848;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201511;2,929664;2,862877;3,055369;2,959195;3,146979;2,9079;3,08991;3,105821;2,826078;2,904546;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201541;2,973174;2,897014;3,140259;3,010517;3,185183;2,934852;3,118541;3,111867;2,864411;2,971868;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201571;3,049227;2,923444;3,150197;3,061477;3,22578;2,958906;3,190904;3,18007;2,942203;2,985074;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201601;3,119646;3,001803;3,186969;3,058311;3,27226;2,989743;3,237057;3,234461;2,993665;3,021773;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201631;3,135345;3,060828;3,236679;3,074109;3,323326;3,015416;3,305412;3,249938;3,02242;3,007928;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201661;3,127334;3,056533;3,27911;3,079442;3,362965;3,033505;3,331453;3,258852;3,061755;3,026205;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201691;3,149467;2,992569;3,309213;3,099771;3,403355;3,055341;3,354419;3,259089;3,08681;3,042763;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201721;3,167452;3,003595;3,296226;3,104444;3,416378;3,074227;3,368947;3,272541;3,111221;3,102461;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201751;3,213176;3,02544;3,350308;3,154449;3,434166;3,125257;3,406073;3,309468;3,144644;3,141814;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201781;3,239056;3,047404;3,382627;3,165755;3,451628;3,174318;3,463596;3,309293;3,149478;3,17088;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201811;3,261988;3,079755;3,395183;3,207201;3,447345;3,188303;3,461749;3,356198;3,174074;3,202928;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201841;3,314609;3,155651;3,419049;3,244283;3,455515;3,234639;3,486877;3,382667;3,225258;3,263992;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511201871;3,364418;3,164472;3,429546;3,272339;3,486127;3,264054;3,487209;3,387314;3,279813;3,300839;
