t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508195449,0,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1508195479,3199,43.388628,0.056096,0.020502,0.898078,0.029521,0.042510,0.061214,0.073457,0.088148,1.358102,82.633822,36.840256,8.458914,2.887461,calls/second,milliseconds
1508195509,7830,43.388628,0.051886,0.020502,0.578992,0.042510,0.051012,0.061214,0.088148,0.126934,1.131752,113.912173,82.410935,22.056961,7.747726,calls/second,milliseconds
1508195539,13337,43.388628,0.048708,0.020502,0.474757,0.035425,0.051012,0.061214,0.088148,0.126934,1.131752,135.110069,121.187609,37.146045,13.413235,calls/second,milliseconds
1508195569,18854,52.066354,0.052866,0.017085,0.716308,0.029521,0.042510,0.061214,0.088148,0.126934,1.358102,146.435833,147.156223,51.447697,19.119733,calls/second,milliseconds
1508195599,24563,52.066354,0.057318,0.017085,0.727785,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,154.763083,163.031950,64.374567,24.631744,calls/second,milliseconds
1508195629,30301,52.066354,0.058254,0.017085,0.784893,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,160.561585,174.120164,76.466039,30.101623,calls/second,milliseconds
1508195659,35943,52.066354,0.067475,0.017085,0.965936,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,164.335500,179.834922,87.157591,35.306001,calls/second,milliseconds
1508195689,41607,43.388628,0.063141,0.017085,0.863876,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,167.288397,183.348149,96.874917,40.356384,calls/second,milliseconds
1508195719,46832,43.388628,0.062570,0.017085,0.813788,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,168.028490,180.827935,104.490452,44.832819,calls/second,milliseconds
1508195749,52136,43.388628,0.057532,0.017085,0.711148,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,168.881585,179.196996,111.352072,49.151883,calls/second,milliseconds
1508195779,57203,43.388628,0.057511,0.017085,0.711179,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,168.864129,175.020265,116.791764,53.064730,calls/second,milliseconds
1508195809,62458,43.388628,0.054281,0.017085,0.615701,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,169.390533,174.560937,122.212832,57.020990,calls/second,milliseconds
1508195839,67641,43.388628,0.056777,0.017085,0.709923,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,169.648670,174.028112,127.067189,60.830775,calls/second,milliseconds
1508195869,72819,52.066354,0.060473,0.017085,0.827704,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,169.852674,173.806521,131.499863,64.530482,calls/second,milliseconds
1508195899,78035,52.066354,0.064972,0.017085,0.932331,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,170.116308,173.425701,135.425585,68.078001,calls/second,milliseconds
1508195929,83273,43.388628,0.068681,0.017085,0.968685,0.042510,0.051012,0.073457,0.088148,0.219342,1.358102,170.392844,174.438986,139.319927,71.629390,calls/second,milliseconds
1508195959,88451,43.388628,0.063005,0.017085,0.868829,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,170.518794,173.325678,142.354458,74.891612,calls/second,milliseconds
1508195989,93699,43.388628,0.064224,0.017085,0.868291,0.042510,0.051012,0.073457,0.088148,0.219342,1.358102,170.757960,174.491684,145.607680,78.225363,calls/second,milliseconds
1508196019,98912,43.388628,0.063289,0.017085,0.868210,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,170.917528,173.543443,148.126233,81.301929,calls/second,milliseconds
1508196049,104149,43.388628,0.060574,0.017085,0.792274,0.042510,0.051012,0.073457,0.088148,0.219342,1.358102,171.095789,174.270091,150.705860,84.380636,calls/second,milliseconds
1508196079,109408,43.388628,0.066451,0.017085,0.935385,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,171.295306,174.619725,152.998254,87.342701,calls/second,milliseconds
1508196109,114672,43.388628,0.063169,0.017085,0.865850,0.042510,0.051012,0.061214,0.088148,0.219342,1.629722,171.480279,174.675578,155.072311,90.209819,calls/second,milliseconds
1508196139,119860,43.388628,0.066694,0.017085,0.935815,0.042510,0.051012,0.073457,0.088148,0.219342,1.629722,171.542846,174.128265,156.826787,92.941948,calls/second,milliseconds
