t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508094649,154221,43.388628,0.057889,0.017085,0.690935,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,170.703083,169.563674,162.479044,108.248750,calls/second,milliseconds
1508094679,160047,43.388628,0.060026,0.017085,0.762710,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,171.458639,179.764537,165.582881,111.093829,calls/second,milliseconds
1508094709,165578,43.388628,0.062881,0.017085,0.812752,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,171.860882,182.014036,167.546844,113.560711,calls/second,milliseconds
1508094739,170719,43.388628,0.057898,0.017085,0.678507,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.845408,177.472713,167.817261,115.423271,calls/second,milliseconds
1508094769,175890,43.388628,0.057220,0.017085,0.679781,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,171.854500,176.015438,168.393434,117.340055,calls/second,milliseconds
1508094799,181152,43.388628,0.059955,0.017085,0.709560,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.961380,175.522868,168.954308,119.204373,calls/second,milliseconds
1508094829,186409,43.388628,0.061840,0.017085,0.815287,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.051010,175.520952,169.554956,121.040854,calls/second,milliseconds
1508094859,191689,43.388628,0.061339,0.017085,0.736245,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,172.158394,175.326928,170.094202,122.818100,calls/second,milliseconds
1508094889,196925,43.388628,0.064798,0.017085,0.867410,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,172.220174,175.237257,170.595448,124.542238,calls/second,milliseconds
1508094919,202289,43.388628,0.061525,0.017085,0.764329,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.389342,176.476133,171.317923,126.299761,calls/second,milliseconds
1508094949,207472,43.388628,0.062065,0.017085,0.792662,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.398496,175.525112,171.553976,127.855529,calls/second,milliseconds
1508094979,212723,43.388628,0.060253,0.017085,0.737270,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.462392,175.271729,171.900013,129.409018,calls/second,milliseconds
1508095009,217953,43.388628,0.058481,0.017085,0.710824,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.506736,175.544695,172.248943,130.920061,calls/second,milliseconds
1508095039,223178,43.388628,0.066117,0.017085,0.915600,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.539612,174.546899,172.313154,132.296589,calls/second,milliseconds
1508095069,228217,43.388628,0.060640,0.017085,0.771959,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.441304,171.996136,171.908827,133.469243,calls/second,milliseconds
1508095099,233471,43.388628,0.060706,0.017085,0.794608,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.501168,173.161690,172.154223,134.811345,calls/second,milliseconds
1508095129,238690,43.388628,0.062470,0.017085,0.794864,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.532657,173.276635,172.324571,136.096951,calls/second,milliseconds
1508095159,243917,43.388628,0.059807,0.017085,0.740313,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.568696,173.372449,172.438748,137.324152,calls/second,milliseconds
1508095189,249222,43.388628,0.061425,0.017085,0.739408,0.042510,0.051012,0.073457,0.088148,0.219342,1.629722,172.657215,175.547047,173.068689,138.693270,calls/second,milliseconds
1508095219,254286,43.388628,0.055621,0.017085,0.619970,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.579055,172.432366,172.536194,139.635916,calls/second,milliseconds
1508095249,259452,43.388628,0.056954,0.017085,0.620697,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.567198,172.042060,172.451291,140.686482,calls/second,milliseconds
1508095279,264695,43.388628,0.055527,0.017085,0.618296,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,172.614381,173.065158,172.646330,141.794300,calls/second,milliseconds
1508095309,269991,43.388628,0.056726,0.017085,0.617438,0.042510,0.051012,0.073457,0.088148,0.219342,1.629722,172.689699,174.280899,173.031926,142.941543,calls/second,milliseconds
1508095339,275293,43.388628,0.055099,0.017085,0.583704,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,172.765870,175.323135,173.412945,144.059954,calls/second,milliseconds
1508095369,280506,43.388628,0.056107,0.017085,0.584905,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,172.784532,175.215467,173.559427,145.072302,calls/second,milliseconds
1508095399,285763,43.388628,0.056995,0.017085,0.587126,0.042510,0.051012,0.073457,0.105778,0.263210,1.629722,172.824933,174.953594,173.627305,146.028021,calls/second,milliseconds
1508095429,290913,43.388628,0.058943,0.017085,0.657994,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,172.808343,173.757234,173.539498,146.906859,calls/second,milliseconds
1508095459,296154,43.388628,0.056108,0.017085,0.585809,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,172.841154,173.630253,173.519183,147.772412,calls/second,milliseconds
1508095489,301454,43.388628,0.051746,0.017085,0.465042,0.042510,0.051012,0.073457,0.088148,0.182785,1.131752,172.907314,174.602244,173.787873,148.710314,calls/second,milliseconds
1508095519,306667,43.388628,0.055398,0.017085,0.583641,0.042510,0.051012,0.073457,0.105778,0.182785,1.131752,172.921726,174.866531,173.931268,149.581970,calls/second,milliseconds
1508095549,311825,43.388628,0.057309,0.017085,0.683503,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,172.905292,173.133730,173.553244,150.247259,calls/second,milliseconds
1508095579,316976,52.066354,0.063409,0.017085,0.829458,0.042510,0.051012,0.073457,0.088148,0.219342,1.629722,172.884893,172.664223,173.465212,150.984749,calls/second,milliseconds
1508095609,322159,43.388628,0.059707,0.017085,0.775593,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.883423,172.692525,173.384921,151.693605,calls/second,milliseconds
1508095639,327417,43.388628,0.059072,0.017085,0.687673,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.917842,172.993334,173.404989,152.412461,calls/second,milliseconds
1508095669,332572,43.388628,0.057248,0.017085,0.687605,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,172.904378,173.465178,173.482754,153.127707,calls/second,milliseconds
1508095699,337753,43.388628,0.061153,0.017085,0.773729,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,172.900976,172.809313,173.325126,153.740874,calls/second,milliseconds
1508095729,343022,43.388628,0.057952,0.017085,0.713075,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,172.942185,173.907345,173.518879,154.448336,calls/second,milliseconds
1508095759,348217,43.388628,0.060526,0.017085,0.771649,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,172.945877,173.580136,173.511527,155.073015,calls/second,milliseconds
1508095789,353365,43.388628,0.062447,0.017085,0.850009,0.042510,0.051012,0.061214,0.088148,0.182785,1.358102,172.926126,172.821749,173.368918,155.630279,calls/second,milliseconds
1508095819,358546,43.388628,0.069088,0.017085,1.005917,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,172.923025,172.163850,173.161777,156.140634,calls/second,milliseconds
