t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508068699,0,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1508068729,3010,43.388628,0.072770,0.020502,1.182716,0.029521,0.042510,0.051012,0.073457,0.105778,30.130992,83.450586,39.823528,9.133595,3.117201,calls/second,milliseconds
1508068759,7491,43.388628,0.057319,0.020502,0.823246,0.042510,0.042510,0.061214,0.088148,0.126934,0.654949,113.375147,82.788878,22.392591,7.879361,calls/second,milliseconds
1508068789,13151,52.066354,0.072665,0.020502,1.085404,0.042510,0.051012,0.061214,0.088148,0.126934,1.629722,136.891138,124.440679,38.160020,13.783867,calls/second,milliseconds
1508068819,19025,43.388628,0.065442,0.020502,0.826822,0.042510,0.051012,0.073457,0.105778,0.152321,1.131752,150.862470,152.800098,53.228314,19.774042,calls/second,milliseconds
1508068849,24888,52.066354,0.065613,0.020502,0.812428,0.042510,0.051012,0.073457,0.105778,0.152321,1.358102,159.461558,169.153383,66.664858,25.499962,calls/second,milliseconds
1508068879,30748,52.066354,0.068052,0.020502,0.836556,0.042510,0.051012,0.073457,0.105778,0.152321,1.629722,165.250185,179.633970,78.956002,31.084054,calls/second,milliseconds
1508068909,36094,52.066354,0.063006,0.017085,0.759146,0.042510,0.051012,0.073457,0.105778,0.152321,1.131752,167.046341,179.346895,88.494054,35.941150,calls/second,milliseconds
1508068939,41278,43.388628,0.060103,0.017085,0.651438,0.042510,0.051012,0.073457,0.105778,0.152321,1.629722,167.747317,176.801635,96.503589,40.422035,calls/second,milliseconds
1508068969,46457,43.388628,0.059269,0.017085,0.626420,0.042510,0.051012,0.073457,0.105778,0.152321,1.358102,168.277777,175.239395,103.805330,44.778286,calls/second,milliseconds
1508068999,51785,43.388628,0.057184,0.017085,0.509723,0.042510,0.051012,0.073457,0.105778,0.152321,1.358102,169.193144,175.903627,110.749260,49.104741,calls/second,milliseconds
1508069029,57043,43.388628,0.060798,0.017085,0.587857,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,169.735510,176.392222,117.021130,53.283689,calls/second,milliseconds
1508069059,62301,43.388628,0.064792,0.017085,0.685159,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,170.169269,175.397443,122.410731,57.228755,calls/second,milliseconds
1508069089,67428,43.388628,0.065278,0.020502,0.772968,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,170.243155,173.628348,127.047894,60.964515,calls/second,milliseconds
1508069119,72742,43.388628,0.059988,0.020502,0.618118,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,170.711548,174.534852,131.702468,64.734658,calls/second,milliseconds
1508069149,77989,43.388628,0.063419,0.020502,0.711253,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,171.002709,175.059559,135.899673,68.375891,calls/second,milliseconds
1508069179,83292,43.388628,0.067868,0.020502,0.793313,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,171.358042,176.161306,139.918748,71.975630,calls/second,milliseconds
1508069209,88475,43.388628,0.066543,0.020502,0.712076,0.051012,0.051012,0.073457,0.105778,0.263210,1.358102,171.440238,174.687524,143.035898,75.278230,calls/second,milliseconds
1508069239,93714,43.388628,0.068627,0.020502,0.712610,0.051012,0.051012,0.073457,0.105778,0.315852,1.629722,171.610523,174.479445,145.970359,78.508947,calls/second,milliseconds
1508069269,98886,43.388628,0.065800,0.017085,0.713227,0.051012,0.051012,0.073457,0.105778,0.219342,1.629722,171.644748,173.746603,148.507167,81.594649,calls/second,milliseconds
1508069299,104099,43.388628,0.064858,0.017085,0.713481,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,171.760381,173.335798,150.798926,84.577311,calls/second,milliseconds
1508069329,109252,43.388628,0.065487,0.020502,0.714588,0.042510,0.051012,0.073457,0.105778,0.263210,1.629722,171.759398,173.051451,152.878571,87.465063,calls/second,milliseconds
1508069359,114415,43.388628,0.063571,0.020502,0.620892,0.051012,0.051012,0.073457,0.105778,0.219342,1.629722,171.767475,173.023652,154.762731,90.256972,calls/second,milliseconds
1508069389,119378,43.388628,0.066983,0.020502,0.720441,0.051012,0.051012,0.073457,0.105778,0.219342,1.629722,171.503054,170.520700,156.031251,92.816203,calls/second,milliseconds
1508069419,123624,43.388628,0.063989,0.020502,0.638099,0.051012,0.051012,0.073457,0.105778,0.219342,1.358102,170.264535,159.659187,154.383239,94.298002,calls/second,milliseconds
1508069449,129386,43.388628,0.063182,0.017085,0.624332,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,171.129871,172.871980,158.027182,97.520088,calls/second,milliseconds
1508069479,135116,43.388628,0.056923,0.017085,0.502374,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,171.887833,180.014718,161.124796,100.568454,calls/second,milliseconds
1508069509,140359,43.388628,0.057397,0.017085,0.503213,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,171.994146,178.159555,162.495989,103.027546,calls/second,milliseconds
1508069539,145628,43.388628,0.061680,0.020502,0.615041,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.115725,176.976652,163.721357,105.400617,calls/second,milliseconds
1508069569,150827,43.388628,0.066319,0.020502,0.710858,0.051012,0.051012,0.073457,0.105778,0.263210,1.629722,172.162943,175.221760,164.595468,107.615777,calls/second,milliseconds
1508069599,155912,43.388628,0.066004,0.020502,0.685689,0.051012,0.051012,0.073457,0.105778,0.263210,1.358102,172.075258,173.055105,165.078576,109.650099,calls/second,milliseconds
1508069629,161019,43.388628,0.066725,0.017085,0.702949,0.051012,0.051012,0.073457,0.105778,0.219342,1.629722,172.010977,171.687914,165.559855,111.635932,calls/second,milliseconds
1508069659,166218,43.388628,0.060753,0.017085,0.636342,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,172.055675,172.703817,166.370519,113.682053,calls/second,milliseconds
1508069689,171385,43.388628,0.062642,0.017085,0.714517,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,172.060785,172.376570,166.835146,115.566105,calls/second,milliseconds
1508069719,176572,43.388628,0.066496,0.017085,0.773618,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.085427,172.758981,167.468561,117.466028,calls/second,milliseconds
1508069749,181764,43.388628,0.076172,0.017085,0.968692,0.042510,0.051012,0.073457,0.105778,0.263210,1.629722,172.113603,172.679757,168.012582,119.295972,calls/second,milliseconds
1508069779,187000,43.388628,0.074564,0.017085,0.900324,0.051012,0.051012,0.073457,0.105778,0.263210,1.629722,172.180251,173.303576,168.587646,121.089995,calls/second,milliseconds
1508069809,192286,43.388628,0.070580,0.020502,0.848113,0.042510,0.051012,0.073457,0.105778,0.263210,1.629722,172.288263,174.413345,169.295865,122.890494,calls/second,milliseconds
1508069839,197371,43.388628,0.071595,0.020502,0.922417,0.042510,0.051012,0.073457,0.105778,0.263210,1.629722,172.215574,172.829575,169.385502,124.441897,calls/second,milliseconds
1508069869,202596,43.388628,0.075106,0.020502,0.987606,0.042510,0.051012,0.073457,0.105778,0.263210,1.955666,172.264997,173.167034,169.777932,126.049583,calls/second,milliseconds
1508069899,207756,43.388628,0.071334,0.020502,0.852435,0.042510,0.051012,0.073457,0.105778,0.315852,1.955666,172.253173,172.789657,170.006273,127.561603,calls/second,milliseconds
1508069929,212981,43.388628,0.070299,0.020502,0.775096,0.042510,0.051012,0.073457,0.126934,0.379022,1.955666,172.304583,173.714274,170.502212,129.124305,calls/second,milliseconds
1508069959,218088,43.388628,0.077093,0.020502,0.926288,0.051012,0.051012,0.073457,0.126934,0.379022,1.955666,172.255886,171.963096,170.399978,130.446464,calls/second,milliseconds
1508069989,223290,43.388628,0.072245,0.017085,0.853521,0.051012,0.051012,0.073457,0.126934,0.315852,1.629722,172.282716,172.733774,170.730596,131.870024,calls/second,milliseconds
1508070019,228567,43.388628,0.065940,0.017085,0.772340,0.042510,0.051012,0.073457,0.105778,0.263210,1.629722,172.363883,173.838455,171.167879,133.293387,calls/second,milliseconds
1508070049,233752,43.388628,0.065750,0.017085,0.796562,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.374572,173.574164,171.329965,134.589341,calls/second,milliseconds
1508070079,239061,43.388628,0.074407,0.017085,0.962489,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,172.473937,174.722801,171.849550,135.974515,calls/second,milliseconds
1508070109,244243,43.388628,0.070321,0.017085,0.824346,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,172.479645,173.770295,171.912743,137.173568,calls/second,milliseconds
1508070139,249429,43.388628,0.067854,0.020502,0.771437,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.483275,173.754128,172.047518,138.356787,calls/second,milliseconds
1508070169,254609,43.388628,0.066663,0.020502,0.772356,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.491173,173.107604,172.073174,139.471224,calls/second,milliseconds
1508070199,259776,52.066354,0.069739,0.020502,0.904269,0.042510,0.051012,0.073457,0.105778,0.263210,1.358102,172.486248,173.242671,172.187516,140.578526,calls/second,milliseconds
1508070229,264915,52.066354,0.069833,0.020502,0.905036,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.462801,172.433692,172.047862,141.564063,calls/second,milliseconds
1508070259,270205,43.388628,0.066366,0.020502,0.771079,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.537045,173.933867,172.466961,142.708878,calls/second,milliseconds
1508070289,275353,43.388628,0.070326,0.020502,0.827727,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,172.518695,173.121047,172.392607,143.657715,calls/second,milliseconds
1508070319,280623,43.388628,0.069192,0.020502,0.772305,0.051012,0.051012,0.073457,0.105778,0.219342,1.629722,172.577489,173.927811,172.659190,144.691728,calls/second,milliseconds
1508070349,285789,43.388628,0.063159,0.017085,0.686461,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.570629,173.847406,172.763639,145.644807,calls/second,milliseconds
1508070379,291152,43.388628,0.062010,0.017085,0.682899,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,172.680879,175.352005,173.230287,146.694615,calls/second,milliseconds
1508070409,296410,43.388628,0.060467,0.020502,0.616682,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,172.725713,175.496087,173.425226,147.629267,calls/second,milliseconds
1508070439,301673,43.388628,0.059965,0.020502,0.507397,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.769060,175.196041,173.542540,148.514844,calls/second,milliseconds
1508070469,306890,43.388628,0.063520,0.020502,0.618482,0.051012,0.051012,0.073457,0.105778,0.219342,1.358102,172.791259,174.507991,173.590430,149.355213,calls/second,milliseconds
1508070499,312027,43.388628,0.064351,0.020502,0.620340,0.051012,0.051012,0.073457,0.105778,0.219342,1.358102,172.765902,173.358400,173.398109,150.083419,calls/second,milliseconds
1508070529,317278,43.388628,0.060437,0.020502,0.565259,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.802782,174.105455,173.540071,150.894704,calls/second,milliseconds
1508070559,322512,43.388628,0.063296,0.020502,0.716213,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,172.829626,174.688358,173.699848,151.690268,calls/second,milliseconds
