t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508118799,0,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1508118829,1912,43.388628,0.066445,0.020502,1.178844,0.029521,0.035425,0.051012,0.073457,0.105778,1.131752,63.115726,27.360458,6.077218,2.062419,calls/second,milliseconds
1508118859,6279,43.388628,0.058915,0.020502,0.875839,0.029521,0.042510,0.061214,0.088148,0.105778,1.131752,104.201926,74.050537,19.344615,6.761893,calls/second,milliseconds
1508118889,11981,43.388628,0.051269,0.017085,0.588612,0.035425,0.042510,0.061214,0.088148,0.126934,1.131752,132.737212,119.699330,35.588580,12.770338,calls/second,milliseconds
1508118919,17648,43.388628,0.054407,0.017085,0.668130,0.042510,0.042510,0.061214,0.088148,0.126934,1.131752,146.752171,147.064260,50.165141,18.537254,calls/second,milliseconds
1508118949,23333,43.388628,0.055928,0.017085,0.734110,0.042510,0.042510,0.061214,0.088148,0.126934,1.131752,155.280032,163.785390,63.438074,24.147262,calls/second,milliseconds
1508118979,29049,43.388628,0.051690,0.017085,0.533620,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,161.118392,174.119494,75.497870,29.590745,calls/second,milliseconds
1508119009,34849,43.388628,0.055861,0.017085,0.726016,0.042510,0.042510,0.061214,0.088148,0.126934,1.131752,165.742787,181.397042,86.703197,34.959389,calls/second,milliseconds
1508119039,39995,43.388628,0.057079,0.017085,0.723295,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,166.469280,177.787186,94.845002,39.460788,calls/second,milliseconds
1508119069,45092,43.388628,0.052854,0.017085,0.625352,0.042510,0.051012,0.061214,0.088148,0.126934,1.131752,166.848751,174.436422,101.929907,43.717377,calls/second,milliseconds
1508119099,50270,43.388628,0.052204,0.017085,0.510688,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,167.404750,173.797947,108.679003,47.951222,calls/second,milliseconds
1508119129,55422,43.388628,0.053968,0.017085,0.550422,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,167.812264,172.987287,114.700196,52.017505,calls/second,milliseconds
1508119159,60584,43.388628,0.056692,0.017085,0.625056,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,168.166902,172.332379,120.099536,55.933204,calls/second,milliseconds
1508119189,65719,43.388628,0.060311,0.017085,0.691189,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,168.397961,171.828602,124.987131,59.722949,calls/second,milliseconds
1508119219,70854,43.388628,0.062440,0.017085,0.819523,0.042510,0.051012,0.073457,0.088148,0.152321,1.629722,168.597244,171.846592,129.410216,63.384151,calls/second,milliseconds
1508119249,76042,43.388628,0.060097,0.017085,0.735673,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,168.883594,172.389673,133.537422,66.968101,calls/second,milliseconds
1508119279,81213,43.388628,0.066664,0.017085,0.923368,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,169.102773,172.517286,137.264434,70.434427,calls/second,milliseconds
1508119309,86402,43.388628,0.065094,0.017085,0.851619,0.042510,0.051012,0.073457,0.088148,0.182785,1.629722,169.328061,172.822372,140.658145,73.792485,calls/second,milliseconds
1508119339,91580,43.388628,0.061472,0.017085,0.730306,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,169.512374,172.922025,143.722127,77.038944,calls/second,milliseconds
1508119369,96773,43.388628,0.059518,0.017085,0.702166,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,169.700122,172.665693,146.458941,80.169057,calls/second,milliseconds
1508119399,101892,43.388628,0.065476,0.017085,0.851678,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,169.745528,172.100146,148.790741,83.144245,calls/second,milliseconds
1508119429,107130,43.388628,0.059805,0.017085,0.716300,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,169.978097,173.152390,151.245026,86.140858,calls/second,milliseconds
1508119459,112356,43.388628,0.060986,0.017085,0.715495,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,170.169320,173.603493,153.436243,89.030010,calls/second,milliseconds
1508119489,117682,43.388628,0.052294,0.017085,0.504807,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,170.489804,175.130332,155.733469,91.933419,calls/second,milliseconds
1508119519,122887,43.388628,0.055917,0.020502,0.617638,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,170.613945,174.203672,157.367285,94.588572,calls/second,milliseconds
1508119549,128146,43.388628,0.057970,0.017085,0.683478,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,170.802879,175.092508,159.136630,97.253479,calls/second,milliseconds
1508119579,133382,43.388628,0.055504,0.017085,0.585808,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,170.945594,174.918269,160.583704,99.779104,calls/second,milliseconds
1508119609,138672,43.388628,0.053672,0.017085,0.467266,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.145778,175.624259,162.124905,102.303916,calls/second,milliseconds
1508119639,143968,43.388628,0.051995,0.017085,0.466283,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,171.336860,175.589847,163.446952,104.723072,calls/second,milliseconds
1508119669,149193,43.388628,0.059072,0.017085,0.682016,0.042510,0.051012,0.073457,0.105778,0.219342,1.358102,171.434868,175.103406,164.465775,106.998102,calls/second,milliseconds
