t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508170399,572,25.109160,0.084683,0.017085,1.162062,0.024601,0.029521,0.051012,0.073457,0.088148,25.109160,30.431937,4.253637,0.879319,0.294736,calls/second,milliseconds
1508170429,4338,36.157190,0.055340,0.017085,0.748035,0.029521,0.042510,0.061214,0.073457,0.088148,0.785939,88.907844,50.056432,12.139928,4.185022,calls/second,milliseconds
1508170459,9293,43.388628,0.056451,0.020502,0.764590,0.042510,0.042510,0.061214,0.088148,0.105778,1.131752,117.876470,94.538648,26.323513,9.321507,calls/second,milliseconds
1508170489,14863,43.388628,0.050245,0.020502,0.452391,0.042510,0.051012,0.061214,0.088148,0.105778,0.785939,136.617133,130.067274,41.355112,15.054141,calls/second,milliseconds
1508170519,20454,43.388628,0.055188,0.020502,0.530996,0.042510,0.051012,0.073457,0.088148,0.126934,0.943127,147.364324,151.324197,54.962270,20.605353,calls/second,milliseconds
1508170549,25895,43.388628,0.062237,0.020502,0.679328,0.042510,0.051012,0.073457,0.105778,0.152321,1.131752,153.410380,164.171032,67.297261,25.984461,calls/second,milliseconds
1508170579,31431,43.388628,0.069433,0.020502,0.839233,0.042510,0.051012,0.073457,0.105778,0.152321,1.131752,158.109621,171.227941,78.151312,31.074000,calls/second,milliseconds
1508170609,37072,43.388628,0.062909,0.017085,0.758781,0.042510,0.051012,0.073457,0.105778,0.152321,1.131752,162.030836,177.599584,88.552686,36.200996,calls/second,milliseconds
1508170639,42760,43.388628,0.063235,0.017085,0.769654,0.042510,0.051012,0.073457,0.105778,0.182785,1.358102,165.208057,182.300429,98.205725,41.245206,calls/second,milliseconds
1508170669,48233,43.388628,0.061306,0.020502,0.678343,0.042510,0.051012,0.073457,0.105778,0.182785,1.131752,167.014560,182.782555,106.386413,45.934420,calls/second,milliseconds
1508170699,53497,43.388628,0.065034,0.020502,0.763446,0.042510,0.051012,0.073457,0.105778,0.152321,1.358102,167.810855,180.049775,113.041037,50.211398,calls/second,milliseconds
1508170729,58612,43.388628,0.063608,0.020502,0.681085,0.042510,0.051012,0.073457,0.105778,0.182785,1.131752,168.041291,176.491922,118.604733,54.190690,calls/second,milliseconds
1508170759,63763,43.388628,0.067797,0.020502,0.768772,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,168.333035,173.981748,123.515457,57.994745,calls/second,milliseconds
1508170789,68890,43.388628,0.064635,0.017085,0.770553,0.042510,0.051012,0.073457,0.105778,0.152321,1.629722,168.521578,173.142580,128.156829,61.744176,calls/second,milliseconds
1508170819,74096,43.388628,0.061647,0.017085,0.711530,0.042510,0.051012,0.073457,0.105778,0.152321,1.358102,168.863247,172.966504,132.398736,65.382833,calls/second,milliseconds
1508170849,79413,43.388628,0.063017,0.020502,0.709400,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,169.386477,174.620634,136.643821,69.041432,calls/second,milliseconds
1508170879,84562,52.066354,0.067443,0.020502,0.827880,0.042510,0.051012,0.073457,0.105778,0.182785,1.629722,169.533592,173.187412,139.923137,72.388085,calls/second,milliseconds
1508170909,89885,52.066354,0.068085,0.020502,0.801575,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,169.968592,174.665955,143.442861,75.814499,calls/second,milliseconds
1508170939,95150,43.388628,0.068073,0.020502,0.766263,0.042510,0.051012,0.073457,0.105778,0.219342,1.629722,170.278242,175.395438,146.591618,79.116431,calls/second,milliseconds
