metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511121346	50370711	21423.928	NULL	NULL	18156.180	NULL	19920.633	NULL	35501.822	NULL	NULL
iostat.sda.write_byte_per_second	1511121376	50370712	1269932.277	NULL	NULL	1247402.130	NULL	1254108.331	NULL	1283067.233	NULL	NULL
iostat.sda.write_byte_per_second	1511121406	50370713	2481849.032	NULL	NULL	3052841.953	NULL	2526880.775	NULL	2500454.111	NULL	NULL
iostat.sda.write_byte_per_second	1511121436	50370714	1664849.207	NULL	NULL	1675411.252	NULL	1643459.505	NULL	1891429.397	NULL	NULL
iostat.sda.write_byte_per_second	1511121466	50370715	3348339.979	NULL	NULL	3182741.475	NULL	3395407.173	NULL	3493533.328	NULL	NULL
iostat.sda.write_byte_per_second	1511121496	50370716	3338073.557	NULL	NULL	3030738.105	NULL	3129119.255	NULL	3017114.703	NULL	NULL
iostat.sda.write_byte_per_second	1511121526	50370717	4001424.639	NULL	NULL	4024088.831	NULL	4050473.976	NULL	4347177.059	NULL	NULL
iostat.sda.write_byte_per_second	1511121556	50370718	3419139.534	NULL	NULL	3078008.775	NULL	1775519.413	NULL	3147025.076	NULL	NULL
iostat.sda.write_byte_per_second	1511121586	50370719	2975522.519	NULL	NULL	1825802.117	NULL	3101491.101	NULL	3645353.510	NULL	NULL
iostat.sda.write_byte_per_second	1511121616	50370720	2837699.732	NULL	NULL	3773787.871	NULL	4041113.311	NULL	2165217.612	NULL	NULL
iostat.sda.write_byte_per_second	1511121646	50370721	7775135.939	NULL	NULL	7885205.965	NULL	7286291.826	NULL	7659406.346	NULL	NULL
iostat.sda.write_byte_per_second	1511121676	50370722	2948795.586	NULL	NULL	3193242.970	NULL	3218782.942	NULL	3104877.708	NULL	NULL
iostat.sda.write_byte_per_second	1511121706	50370723	4002229.240	NULL	NULL	3579325.069	NULL	3984315.064	NULL	4015715.993	NULL	NULL
iostat.sda.write_byte_per_second	1511121736	50370724	3122226.167	NULL	NULL	3224249.742	NULL	3093846.268	NULL	3227631.051	NULL	NULL
iostat.sda.write_byte_per_second	1511121766	50370725	3952895.676	NULL	NULL	4009607.010	NULL	4024353.612	NULL	4223879.960	NULL	NULL
iostat.sda.write_byte_per_second	1511121796	50370726	3366860.434	NULL	NULL	3094867.106	NULL	3094029.949	NULL	3084711.912	NULL	NULL
iostat.sda.write_byte_per_second	1511121826	50370727	3986546.364	NULL	NULL	3798335.961	NULL	1801010.356	NULL	4256296.486	NULL	NULL
iostat.sda.write_byte_per_second	1511121856	50370728	3462199.527	NULL	NULL	2035289.314	NULL	4041520.571	NULL	3067536.289	NULL	NULL
iostat.sda.write_byte_per_second	1511121886	50370729	3926470.609	NULL	NULL	3085263.668	NULL	3072173.012	NULL	4427723.788	NULL	NULL
