metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511207266	50373575	115015.019	NULL	NULL	314227.702	NULL	116288.187	NULL	117973.251	NULL	NULL
iostat.sda.write_byte_per_second	1511207296	50373576	1463174.912	NULL	NULL	1317851.992	NULL	1268290.965	NULL	1357215.931	NULL	NULL
iostat.sda.write_byte_per_second	1511207326	50373577	3139610.546	NULL	NULL	3258576.558	NULL	3847685.495	NULL	3174333.277	NULL	NULL
iostat.sda.write_byte_per_second	1511207356	50373578	2895343.881	NULL	NULL	3247779.563	NULL	3489494.552	NULL	3659921.549	NULL	NULL
iostat.sda.write_byte_per_second	1511207386	50373579	2462498.100	NULL	NULL	2143143.360	NULL	2505129.993	NULL	1607621.746	NULL	NULL
iostat.sda.write_byte_per_second	1511207416	50373580	3179056.087	NULL	NULL	3183287.766	NULL	3018205.747	NULL	3097528.683	NULL	NULL
iostat.sda.write_byte_per_second	1511207446	50373581	4112586.605	NULL	NULL	4122290.205	NULL	4675704.974	NULL	4336326.743	NULL	NULL
iostat.sda.write_byte_per_second	1511207476	50373582	3099323.664	NULL	NULL	3182439.659	NULL	3306258.692	NULL	3124842.671	NULL	NULL
iostat.sda.write_byte_per_second	1511207506	50373583	4106236.575	NULL	NULL	3777106.531	NULL	4582655.201	NULL	3934622.176	NULL	NULL
iostat.sda.write_byte_per_second	1511207536	50373584	3200607.165	NULL	NULL	1822236.075	NULL	3296799.132	NULL	3031582.883	NULL	NULL
iostat.sda.write_byte_per_second	1511207566	50373585	1806666.698	NULL	NULL	2971273.633	NULL	9354682.442	NULL	4010643.135	NULL	NULL
iostat.sda.write_byte_per_second	1511207596	50373586	7080193.387	NULL	NULL	3641518.644	NULL	5000817.601	NULL	6082924.359	NULL	NULL
iostat.sda.write_byte_per_second	1511207626	50373587	5972289.746	NULL	NULL	9548105.987	NULL	805556.417	NULL	4606891.331	NULL	NULL
iostat.sda.write_byte_per_second	1511207656	50373588	2960368.520	NULL	NULL	3077392.802	NULL	2343595.132	NULL	2963087.202	NULL	NULL
iostat.sda.write_byte_per_second	1511207686	50373589	4121619.767	NULL	NULL	3814466.478	NULL	5139056.917	NULL	4211918.641	NULL	NULL
iostat.sda.write_byte_per_second	1511207716	50373590	3106111.960	NULL	NULL	1852348.543	NULL	2774933.261	NULL	2953700.186	NULL	NULL
iostat.sda.write_byte_per_second	1511207746	50373591	4017249.200	NULL	NULL	3182069.083	NULL	3409374.192	NULL	4255231.426	NULL	NULL
iostat.sda.write_byte_per_second	1511207776	50373592	1885588.700	NULL	NULL	4126957.841	NULL	4271446.623	NULL	3263566.715	NULL	NULL
iostat.sda.write_byte_per_second	1511207806	50373593	3119360.209	NULL	NULL	3078589.416	NULL	3969944.145	NULL	1886754.313	NULL	NULL
iostat.sda.write_byte_per_second	1511207836	50373594	4130018.430	NULL	NULL	3522547.567	NULL	6106294.990	NULL	3907731.802	NULL	NULL
iostat.sda.write_byte_per_second	1511207866	50373595	2804785.324	NULL	NULL	1931038.442	NULL	7325173.873	NULL	3091053.176	NULL	NULL
iostat.sda.write_byte_per_second	1511207896	50373596	4376001.702	NULL	NULL	3090922.330	NULL	3986602.767	NULL	4315411.090	NULL	NULL
iostat.sda.write_byte_per_second	1511207926	50373597	11266596.112	NULL	NULL	3280340.664	NULL	2104700.557	NULL	7847932.071	NULL	NULL
iostat.sda.write_byte_per_second	1511207956	50373598	1761406.826	NULL	NULL	7164047.491	NULL	3296728.024	NULL	5467068.397	NULL	NULL
iostat.sda.write_byte_per_second	1511207986	50373599	3919852.435	NULL	NULL	6364507.651	NULL	3458274.701	NULL	3687759.579	NULL	NULL
iostat.sda.write_byte_per_second	1511208016	50373600	2648408.306	NULL	NULL	3884961.489	NULL	2593423.308	NULL	3220540.634	NULL	NULL
