metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511272786	50375759	10145658.853	NULL	NULL	2882529.212	NULL	2582900.571	NULL	3579681.484	NULL	NULL
iostat.sda.write_byte_per_second	1511272816	50375760	5257888.566	NULL	NULL	832220.902	NULL	1842618.046	NULL	9361821.022	NULL	NULL
iostat.sda.write_byte_per_second	1511272846	50375761	5713514.076	NULL	NULL	3307174.555	NULL	4167100.518	NULL	2657211.121	NULL	NULL
iostat.sda.write_byte_per_second	1511272876	50375762	4492613.913	NULL	NULL	3543344.591	NULL	7904997.798	NULL	4273218.671	NULL	NULL
iostat.sda.write_byte_per_second	1511272906	50375763	4413568.878	NULL	NULL	6447009.727	NULL	2909941.023	NULL	5627799.693	NULL	NULL
iostat.sda.write_byte_per_second	1511272936	50375764	3245792.551	NULL	NULL	2433500.712	NULL	4077486.982	NULL	3212263.247	NULL	NULL
iostat.sda.write_byte_per_second	1511272966	50375765	3700467.907	NULL	NULL	3075478.606	NULL	2550578.936	NULL	2582799.766	NULL	NULL
iostat.sda.write_byte_per_second	1511272996	50375766	2425135.133	NULL	NULL	3076005.046	NULL	4260715.037	NULL	3485063.476	NULL	NULL
iostat.sda.write_byte_per_second	1511273026	50375767	3468855.687	NULL	NULL	4477484.889	NULL	2618517.402	NULL	2348651.275	NULL	NULL
iostat.sda.write_byte_per_second	1511273056	50375768	3264799.623	NULL	NULL	4063688.236	NULL	4696891.471	NULL	4260315.714	NULL	NULL
iostat.sda.write_byte_per_second	1511273086	50375769	3946812.326	NULL	NULL	4355624.974	NULL	1535249.121	NULL	2503733.576	NULL	NULL
iostat.sda.write_byte_per_second	1511273116	50375770	3174925.653	NULL	NULL	2735037.733	NULL	3475530.472	NULL	3058664.678	NULL	NULL
iostat.sda.write_byte_per_second	1511273146	50375771	5004628.349	NULL	NULL	4676691.300	NULL	3880481.967	NULL	3175832.730	NULL	NULL
iostat.sda.write_byte_per_second	1511273176	50375772	3077055.692	NULL	NULL	2912810.816	NULL	2182544.160	NULL	2546161.347	NULL	NULL
