metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
cpu.percent	1512576104	50419203	18	40	54	100	35	27	52	100	35	NULL
cpu.percent	1512576134	50419204	13	16	49	26	80	40	86	100	100	NULL
cpu.percent	1512576164	50419205	19	11	95	44	100	46	100	100	37	NULL
cpu.percent	1512576194	50419206	81	61	100	100	100	100	100	32	100	NULL
cpu.percent	1512576224	50419207	24	11	55	100	77	100	100	34	100	NULL
cpu.percent	1512576254	50419208	50	30	52	29	96	100	45	38	27	NULL
cpu.percent	1512576284	50419209	22	15	47	33	36	91	53	51	100	NULL
cpu.percent	1512576314	50419210	23	22	100	100	44	70	69	91	66	NULL
cpu.percent	1512576344	50419211	42	20	100	100	100	35	100	100	36	NULL
cpu.percent	1512576374	50419212	67	58	100	100	100	NULL	100	100	100	NULL
cpu.percent	1512576404	50419213	22	9	53	84	100	34	38	100	32	NULL
cpu.percent	1512576434	50419214	23	12	58	34	100	35	38	100	37	NULL
cpu.percent	1512576464	50419215	48	11	54	28	100	39	40	33	79	NULL
cpu.percent	1512576494	50419216	49	22	77	100	80	55	46	36	35	NULL
cpu.percent	1512576524	50419217	24	88	100	100	100	100	100	47	59	NULL
cpu.percent	1512576554	50419218	64	65	100	100	100	100	100	100	100	NULL
cpu.percent	1512576584	50419219	43	0	44	62	31	36	100	32	100	NULL
cpu.percent	1512576614	50419220	39	18	48	38	40	34	36	34	35	NULL
cpu.percent	1512576644	50419221	20	11	47	100	40	37	29	34	100	NULL
cpu.percent	1512576674	50419222	14	32	100	44	40	43	100	37	56	NULL
cpu.percent	1512576704	50419223	55	63	100	34	100	100	100	37	33	NULL
cpu.percent	1512576734	50419224	64	61	100	100	100	100	100	100	100	NULL
cpu.percent	1512576764	50419225	13	17	63	35	40	43	38	NULL	32	NULL
cpu.percent	1512576794	50419226	22	15	47	32	100	89	45	27	38	NULL
cpu.percent	1512576824	50419227	17	16	66	27	38	49	71	100	33	NULL
cpu.percent	1512576854	50419228	20	15	94	100	47	84	100	47	100	NULL
cpu.percent	1512576884	50419229	34	68	100	100	100	100	26	34	100	NULL
cpu.percent	1512576914	50419230	82	72	100	100	100	100	100	41	100	NULL
cpu.percent	1512576944	50419231	22	17	100	33	50	30	37	46	100	NULL
cpu.percent	1512576974	50419232	20	32	96	36	56	28	94	30	34	NULL
cpu.percent	1512577004	50419233	13	26	52	44	34	34	31	78	47	NULL
cpu.percent	1512577034	50419234	1	31	49	100	38	100	59	100	100	NULL
cpu.percent	1512577064	50419235	62	54	100	100	100	100	97	100	36	NULL
cpu.percent	1512577094	50419236	66	66	100	100	100	100	100	100	100	NULL
cpu.percent	1512577124	50419237	13	38	100	31	100	32	33	33	40	NULL
cpu.percent	1512577154	50419238	25	14	100	38	100	30	82	32	32	NULL
cpu.percent	1512577184	50419239	12	14	85	34	72	100	73	100	100	NULL
cpu.percent	1512577214	50419240	16	12	100	100	100	100	41	62	40	NULL
cpu.percent	1512577244	50419241	65	17	100	38	100	33	100	100	100	NULL
cpu.percent	1512577274	50419242	66	63	100	37	100	100	31	100	100	NULL
cpu.percent	1512577304	50419243	20	1	100	100	37	31	100	33	1	NULL
cpu.percent	1512577334	50419244	25	17	96	48	69	46	77	31	64	NULL
cpu.percent	1512577364	50419245	65	58	NULL	89	100	100	100	100	20	NULL
cpu.percent	1512577394	50419246	18	28	45	56	37	44	29	100	19	NULL
cpu.percent	1512577424	50419247	36	15	65	99	42	30	46	37	100	NULL
cpu.percent	1512577454	50419248	65	65	100	100	100	100	100	100	59	NULL
cpu.percent	1512577484	50419249	22	13	100	16	92	64	26	55	25	NULL
cpu.percent	1512577514	50419250	50	20	100	30	85	31	41	41	41	NULL
cpu.percent	1512577544	50419251	24	22	100	100	52	40	54	36	100	NULL
cpu.percent	1512577574	50419252	42	65	63	34	56	100	100	100	34	NULL
cpu.percent	1512577604	50419253	35	61	53	29	100	48	100	100	56	NULL
cpu.percent	1512577634	50419254	67	68	100	100	100	100	100	100	100	NULL
cpu.percent	1512577664	50419255	21	3	100	59	35	38	13	41	100	NULL
cpu.percent	1512577694	50419256	23	45	17	32	56	45	100	86	37	NULL
cpu.percent	1512577724	50419257	19	55	100	100	39	100	100	100	100	NULL
cpu.percent	1512577754	50419258	17	17	55	63	100	41	100	100	41	NULL
cpu.percent	1512577784	50419259	24	13	47	23	100	59	100	38	39	NULL
cpu.percent	1512577814	50419260	82	67	100	100	100	100	100	100	100	NULL
cpu.percent	1512577844	50419261	19	30	64	39	40	26	100	95	100	NULL
cpu.percent	1512577874	50419262	20	19	100	49	39	40	70	35	42	NULL
cpu.percent	1512577904	50419263	100	47	68	100	42	100	100	100	100	NULL
cpu.percent	1512577934	50419264	26	22	100	80	100	50	46	46	36	NULL
cpu.percent	1512577964	50419265	28	19	51	35	100	34	45	47	30	NULL
cpu.percent	1512577994	50419266	69	57	100	100	100	100	100	100	100	NULL
cpu.percent	1512578024	50419267	42	14	72	56	38	41	78	100	12	NULL
cpu.percent	1512578054	50419268	21	43	52	37	46	33	46	41	35	NULL
cpu.percent	1512578084	50419269	18	15	59	100	44	100	32	100	100	NULL
cpu.percent	1512578114	50419270	18	16	83	39	95	42	100	39	43	NULL
cpu.percent	1512578144	50419271	73	19	100	46	100	31	100	46	46	NULL
cpu.percent	1512578174	50419272	66	87	100	100	100	100	100	100	100	NULL
cpu.percent	1512578204	50419273	1	1	55	100	42	100	100	100	45	NULL
cpu.percent	1512578234	50419274	18	28	61	41	27	32	41	84	NULL	NULL
cpu.percent	1512578264	50419275	20	25	58	100	97	100	21	36	100	NULL
cpu.percent	1512578294	50419276	62	16	100	26	100	41	100	100	36	NULL
cpu.percent	1512578324	50419277	17	12	89	39	100	42	100	100	33	NULL
cpu.percent	1512578354	50419278	69	73	100	100	100	100	100	100	100	NULL
cpu.percent	1512578384	50419279	20	3	60	50	34	87	100	39	100	NULL
cpu.percent	1512578414	50419280	25	15	64	27	34	32	32	40	100	NULL
cpu.percent	1512578444	50419281	73	5	98	100	52	61	10	100	100	NULL
cpu.percent	1512578474	50419282	67	16	100	39	100	100	44	100	36	NULL
cpu.percent	1512578504	50419283	65	20	100	46	100	100	100	94	35	NULL
cpu.percent	1512578534	50419284	64	67	100	100	100	100	100	100	48	NULL
cpu.percent	1512578564	50419285	11	34	58	62	34	45	36	37	100	NULL
cpu.percent	1512578594	50419286	20	17	49	33	43	58	37	48	46	NULL
cpu.percent	1512578624	50419287	64	19	59	73	23	31	82	47	100	NULL
cpu.percent	1512578654	50419288	46	53	100	31	96	100	100	44	32	NULL
cpu.percent	1512578684	50419289	23	23	100	39	100	100	100	100	100	NULL
cpu.percent	1512578714	50419290	65	67	100	100	100	100	100	100	100	NULL
cpu.percent	1512578744	50419291	24	16	100	79	55	57	54	78	100	NULL
cpu.percent	1512578774	50419292	20	34	52	72	40	52	42	47	100	NULL
cpu.percent	1512578804	50419293	32	92	64	33	89	40	76	33	100	NULL
cpu.percent	1512578834	50419294	18	17	100	100	100	39	100	100	96	NULL
cpu.percent	1512578864	50419295	43	33	100	72	100	38	100	62	39	NULL
cpu.percent	1512578894	50419296	71	33	100	100	100	100	100	100	100	NULL
cpu.percent	1512578924	50419297	17	12	67	1	41	69	100	100	100	NULL
cpu.percent	1512578954	50419298	12	13	52	100	52	88	85	95	100	NULL
cpu.percent	1512578984	50419299	72	80	100	100	87	100	48	100	95	NULL
cpu.percent	1512579014	50419300	59	17	100	46	92	99	73	38	86	NULL
cpu.percent	1512579044	50419301	63	21	100	100	100	25	100	36	33	NULL
cpu.percent	1512579074	50419302	62	65	100	100	100	100	100	100	100	NULL
cpu.percent	1512579104	50419303	19	46	100	31	100	28	98	35	100	NULL
cpu.percent	1512579134	50419304	61	12	73	45	42	54	26	33	100	NULL
cpu.percent	1512579164	50419305	26	58	71	100	51	100	30	46	71	NULL
cpu.percent	1512579194	50419306	22	17	100	100	100	55	100	100	44	NULL
cpu.percent	1512579224	50419307	22	43	100	36	100	35	100	100	100	NULL
cpu.percent	1512579254	50419308	61	67	100	100	100	100	100	100	48	NULL
cpu.percent	1512579284	50419309	26	2	51	100	25	30	100	66	4	NULL
cpu.percent	1512579314	50419310	100	45	64	50	42	38	100	38	100	NULL
cpu.percent	1512579344	50419311	100	33	100	100	80	100	38	100	100	NULL
cpu.percent	1512579374	50419312	17	43	87	31	100	72	NULL	40	94	NULL
cpu.percent	1512579404	50419313	39	22	79	39	100	32	45	51	95	NULL
cpu.percent	1512579434	50419314	75	31	100	100	100	42	100	100	100	NULL
cpu.percent	1512579464	50419315	0	14	89	100	92	48	100	100	100	NULL
cpu.percent	1512579494	50419316	35	98	86	63	68	NULL	100	81	55	NULL
cpu.percent	1512579524	50419317	28	94	14	100	0	47	100	100	82	NULL
cpu.percent	1512579554	50419318	72	36	100	26	100	43	100	50	26	NULL
cpu.percent	1512579584	50419319	73	18	100	38	100	100	80	38	100	NULL
cpu.percent	1512579614	50419320	67	28	100	100	100	100	100	100	53	NULL
cpu.percent	1512579644	50419321	21	34	83	54	78	100	100	58	100	NULL
cpu.percent	1512579674	50419322	27	31	61	100	81	100	100	37	100	NULL
cpu.percent	1512579704	50419323	64	100	74	100	95	100	100	100	100	NULL
cpu.percent	1512579734	50419324	66	47	39	35	100	36	57	77	49	NULL
cpu.percent	1512579764	50419325	11	38	72	35	100	52	51	28	100	NULL
cpu.percent	1512579794	50419326	65	66	100	100	100	100	100	100	100	NULL
cpu.percent	1512579824	50419327	84	1	56	100	78	100	100	100	100	NULL
cpu.percent	1512579854	50419328	21	23	64	36	80	72	82	100	100	NULL
cpu.percent	1512579884	50419329	12	57	54	100	100	72	100	100	47	NULL
cpu.percent	1512579914	50419330	28	16	100	34	86	100	100	40	35	NULL
cpu.percent	1512579944	50419331	26	22	100	35	100	100	100	33	98	NULL
cpu.percent	1512579974	50419332	77	76	100	100	100	100	100	100	100	NULL
cpu.percent	1512580004	50419333	72	6	58	100	100	100	100	65	100	NULL
cpu.percent	1512580034	50419334	45	18	100	35	100	100	38	39	67	NULL
cpu.percent	1512580064	50419335	29	31	57	47	100	34	100	37	100	NULL
cpu.percent	1512580094	50419336	52	18	100	42	100	83	100	100	46	NULL
cpu.percent	1512580124	50419337	71	13	100	77	55	100	24	100	32	NULL
cpu.percent	1512580154	50419338	67	76	100	100	100	100	100	100	100	NULL
cpu.percent	1512580184	50419339	32	7	100	55	44	49	100	82	100	NULL
cpu.percent	1512580214	50419340	41	16	100	35	64	37	97	89	100	NULL
cpu.percent	1512580244	50419341	34	28	44	35	49	44	47	43	100	NULL
cpu.percent	1512580274	50419342	19	31	54	100	100	40	47	100	60	NULL
cpu.percent	1512580304	50419343	99	64	22	55	100	100	100	100	29	NULL
cpu.percent	1512580334	50419344	62	62	100	100	100	100	100	100	100	NULL
cpu.percent	1512580364	50419345	51	14	58	100	35	26	100	53	36	NULL
cpu.percent	1512580394	50419346	12	36	62	73	33	35	50	36	37	NULL
cpu.percent	1512580424	50419347	22	73	77	61	62	33	30	36	76	NULL
cpu.percent	1512580454	50419348	24	21	100	100	47	66	91	41	55	NULL
cpu.percent	1512580484	50419349	23	16	100	100	100	100	100	100	100	NULL
cpu.percent	1512580514	50419350	66	61	100	100	100	100	100	100	100	NULL
cpu.percent	1512580544	50419351	38	5	85	100	50	45	100	95	100	NULL
cpu.percent	1512580574	50419352	16	35	63	56	32	36	62	49	36	NULL
cpu.percent	1512580604	50419353	54	23	92	100	39	38	100	59	38	NULL
cpu.percent	1512580634	50419354	79	22	100	34	89	100	100	100	88	NULL
cpu.percent	1512580664	50419355	60	29	100	36	69	100	100	100	100	NULL
cpu.percent	1512580694	50419356	69	63	100	100	100	100	100	100	100	NULL
cpu.percent	1512580724	50419357	25	6	100	32	46	100	100	39	41	NULL
cpu.percent	1512580754	50419358	37	19	64	38	36	100	38	42	65	NULL
cpu.percent	1512580784	50419359	23	16	100	32	100	45	48	38	41	NULL
cpu.percent	1512580814	50419360	64	21	100	100	49	67	100	66	100	NULL
cpu.percent	1512580844	50419361	72	11	100	52	100	100	39	100	32	NULL
cpu.percent	1512580874	50419362	94	66	100	100	100	100	100	100	100	NULL
cpu.percent	1512580904	50419363	26	1	100	100	100	67	100	41	NULL	NULL
cpu.percent	1512580934	50419364	35	59	100	51	24	37	100	100	100	NULL
cpu.percent	1512580964	50419365	25	20	100	100	100	100	18	62	18	NULL
cpu.percent	1512580994	50419366	13	15	87	100	39	60	52	53	35	NULL
cpu.percent	1512581024	50419367	24	100	100	70	30	28	100	100	39	NULL
cpu.percent	1512581054	50419368	65	62	100	100	100	100	100	100	45	NULL
cpu.percent	1512581084	50419369	24	25	58	32	55	31	68	31	52	NULL
cpu.percent	1512581114	50419370	97	38	89	34	34	37	54	69	48	NULL
cpu.percent	1512581144	50419371	61	100	70	100	42	69	100	100	100	NULL
cpu.percent	1512581174	50419372	26	16	100	37	100	100	41	100	71	NULL
cpu.percent	1512581204	50419373	29	59	87	53	100	34	40	44	41	NULL
cpu.percent	1512581234	50419374	68	68	100	100	100	100	35	90	100	NULL
