t,count
1508195466,0
1508195496,0
1508195526,0
1508195556,0
1508195586,0
1508195616,0
1508195646,0
1508195676,7803838
1508195706,7803838
1508195736,7803838
1508195766,7803838
1508195796,7803838
1508195826,15357489
1508195856,15357489
1508195886,15357489
1508195916,15357489
1508195946,15357489
1508195976,15357489
1508196006,22926487
1508196036,22926487
1508196066,22926487
1508196096,22926487
1508196126,22926487
1508196156,22926487
1508196186,9759255
1508196216,9759255
1508196246,9759255
1508196276,9759255
1508196306,9759255
1508196336,9759255
1508196366,17275458
1508196396,17275458
1508196426,17275458
1508196456,17275458
1508196486,17275458
1508196516,24755371
1508196546,24755371
1508196576,24755371
1508196606,24755371
1508196636,24755371
1508196666,24755371
1508196696,10231367
1508196726,10231367
1508196756,10231367
1508196786,10231367
1508196816,10231367
1508196846,17688879
1508196876,17688879
1508196906,17688879
1508196936,17688879
1508196966,17688879
1508196996,17688879
1508197026,25141724
1508197056,25141724
1508197086,25141724
1508197116,25141724
1508197146,25141724
1508197176,10451620
1508197206,10451620
1508197236,10451620
1508197266,10451620
1508197296,10451620
1508197326,10451620
1508197356,17842447
1508197386,17842447
1508197416,17842447
1508197446,17842447
1508197476,17842447
1508197506,25235782
1508197536,25235782
1508197566,25235782
1508197596,25235782
1508197626,25235782
1508197656,10570691
1508197686,10570691
1508197716,10570691
1508197746,10570691
1508197776,10570691
1508197806,17936133
1508197836,17936133
1508197866,17936133
1508197896,17936133
1508197926,17936133
1508197956,17936133
1508197986,25270950
1508198016,25270950
1508198046,25270950
1508198076,25270950
1508198106,25270950
1508198136,10657618
1508198166,10657618
1508198196,10657618
1508198226,10657618
1508198256,10657618
1508198286,17943537
1508198316,17943537
1508198346,17943537
1508198376,17943537
1508198406,17943537
1508198436,17970613
1508198466,17970613
1508198496,17970613
1508198526,17970613
1508198556,17970613
1508198586,25244924
1508198616,25244924
1508198646,25244924
1508198676,25244924
1508198706,25244924
1508198736,32512557
1508198766,32512557
1508198796,32512557
1508198826,32512557
1508198856,32512557
1508198886,20240232
1508198916,20240232
1508198946,20240232
1508198976,20240232
1508199006,20240232
1508199036,27478246
1508199066,27478246
1508199096,27478246
1508199126,27478246
1508199156,34623679
1508199186,34623679
1508199216,34623679
1508199246,34623679
1508199276,34623679
1508199306,34623679
1508199336,34623679
1508199366,20836667
1508199396,20836667
1508199426,20836667
1508199456,20836667
1508199486,20836667
1508199516,28401345
1508199546,28401345
1508199576,28401345
1508199606,28401345
1508199636,28401345
1508199666,28401345
1508199696,35907763
1508199726,35907763
1508199756,35907763
1508199786,35907763
1508199816,35907763
1508199846,35907763
1508199876,21086810
1508199906,21086810
1508199936,21086810
1508199966,21086810
1508199996,21086810
1508200026,21086810
1508200056,28570729
1508200086,28570729
1508200116,28570729
1508200146,28570729
1508200176,28570729
1508200206,36093532
1508200236,36093532
1508200266,36093532
1508200296,36093532
1508200326,36093532
1508200356,36093532
1508200386,21221992
1508200416,21221992
1508200446,21221992
1508200476,21221992
1508200506,21221992
1508200536,28696526
1508200566,28696526
1508200596,28696526
1508200626,28696526
1508200656,28696526
1508200686,28696526
1508200716,36113697
1508200746,36113697
1508200776,36113697
1508200806,36113697
1508200836,36113697
1508200866,21312929
1508200896,21312929
1508200926,21312929
1508200956,21312929
1508200986,21312929
1508201016,21312929
1508201046,28716272
1508201076,28716272
1508201106,28716272
1508201136,28716272
1508201166,28716272
1508201196,36068340
1508201226,36068340
1508201256,36068340
1508201286,36068340
1508201316,36068340
1508201346,21378477
1508201376,21378477
1508201406,21378477
1508201436,21378477
1508201466,21378477
1508201496,28707713
1508201526,28707713
1508201556,28707713
1508201586,28707713
1508201616,28707713
1508201646,36054017
1508201676,36054017
1508201706,36054017
1508201736,36054017
1508201766,36054017
1508201796,36054017
1508201826,21419670
1508201856,21419670
1508201886,21419670
1508201916,21419670
1508201946,21419670
1508201976,28735719
1508202006,28735719
1508202036,28735719
1508202066,28735719
1508202096,28735719
1508202126,35978756
1508202156,35978756
1508202186,35978756
1508202216,35978756
1508202246,35978756
1508202276,21453945
1508202306,21453945
1508202336,21453945
1508202366,21453945
1508202396,28685890
1508202426,28685890
1508202456,28685890
1508202486,28685890
1508202516,28685890
1508202546,35925756
1508202576,35925756
1508202606,35925756
1508202636,35925756
1508202666,35925756
1508202696,21475103
1508202726,21475103
1508202756,21475103
1508202786,21475103
1508202816,21475103
1508202846,21475103
1508202876,21475103
1508202906,29290071
1508202936,29290071
1508202966,29290071
1508202996,29290071
1508203026,29290071
1508203056,36838378
1508203086,36838378
1508203116,36838378
1508203146,36838378
1508203176,36838378
1508203206,36838378
1508203236,21498312
1508203266,21498312
1508203296,21498312
1508203326,21498312
1508203356,21498312
1508203386,21498312
1508203416,29032146
1508203446,29032146
1508203476,29032146
1508203506,29032146
1508203536,29032146
1508203566,29032146
1508203596,36520390
1508203626,36520390
1508203656,36520390
1508203686,36520390
1508203716,36520390
1508203746,21510671
1508203776,21510671
1508203806,21510671
1508203836,21510671
1508203866,21510671
1508203896,21510671
1508203926,28963541
1508203956,28963541
1508203986,28963541
1508204016,28963541
1508204046,28963541
1508204076,36408497
1508204106,36408497
1508204136,36408497
1508204166,36408497
1508204196,36408497
1508204226,36408497
1508204256,21520412
1508204286,21520412
1508204316,21520412
1508204346,21520412
1508204376,21520412
1508204406,21520412
1508204436,28961892
1508204466,28961892
1508204496,28961892
1508204526,28961892
1508204556,28961892
1508204586,36345360
1508204616,36345360
1508204646,36345360
1508204676,36345360
1508204706,36345360
1508204736,21527306
1508204766,21527306
1508204796,21527306
1508204826,21527306
1508204856,21527306
1508204886,28903040
1508204916,28903040
1508204946,28903040
1508204976,28903040
1508205006,28903040
1508205036,36278739
1508205066,36278739
1508205096,36278739
1508205126,36278739
1508205156,36278739
1508205186,21532859
1508205216,21532859
1508205246,21532859
1508205276,21532859
1508205306,21532859
1508205336,28880595
1508205366,28880595
1508205396,28880595
1508205426,28880595
1508205456,28880595
1508205486,28880595
1508205516,36134253
1508205546,36134253
1508205576,36134253
1508205606,36134253
1508205636,36134253
1508205666,21534207
1508205696,21534207
1508205726,21534207
1508205756,21534207
1508205786,21534207
1508205816,28781084
1508205846,28781084
1508205876,28781084
1508205906,28781084
1508205936,28781084
1508205966,36031810
1508205996,36031810
1508206026,36031810
1508206056,36031810
1508206086,36031810
1508206116,21535509
1508206146,21535509
1508206176,21535509
1508206206,21535509
1508206236,21535509
1508206266,28766551
1508206296,28766551
1508206326,28766551
1508206356,28766551
1508206386,28766551
1508206416,28766551
1508206446,36573559
1508206476,36573559
1508206506,36573559
1508206536,36573559
1508206566,36573559
1508206596,36573559
1508206626,21842998
1508206656,21842998
1508206686,21842998
1508206716,21842998
1508206746,21842998
1508206776,29422396
1508206806,29422396
1508206836,29422396
1508206866,29422396
1508206896,29422396
1508206926,29422396
1508206956,36960037
1508206986,36960037
1508207016,36960037
1508207046,36960037
1508207076,36960037
1508207106,36960037
1508207136,21847421
1508207166,21847421
1508207196,21847421
1508207226,21847421
1508207256,21847421
1508207286,29363731
1508207316,29363731
1508207346,29363731
1508207376,29363731
1508207406,29363731
1508207436,29363731
1508207466,36841661
1508207496,36841661
1508207526,36841661
1508207556,36841661
1508207586,36841661
1508207616,44309826
1508207646,21845721
1508207676,21845721
1508207706,21845721
1508207736,21845721
1508207766,21845721
1508207796,29295483
1508207826,29295483
1508207856,29295483
1508207886,29295483
1508207916,29295483
1508207946,36728393
1508207976,36728393
1508208006,36728393
1508208036,36728393
1508208066,36728393
1508208096,44142038
1508208126,22100664
1508208156,22100664
1508208186,22100664
1508208216,22100664
1508208246,22100664
1508208276,29503238
1508208306,29503238
1508208336,29503238
1508208366,29503238
1508208396,29503238
1508208426,36885130
1508208456,36885130
1508208486,36885130
1508208516,36885130
1508208546,36885130
1508208576,21843781
1508208606,21843781
1508208636,21843781
1508208666,21843781
1508208696,21843781
1508208726,21843781
1508208756,29164594
1508208786,29164594
1508208816,29164594
1508208846,29164594
1508208876,29164594
1508208906,36488974
1508208936,36488974
1508208966,36488974
1508208996,36488974
1508209026,36488974
1508209056,21845489
1508209086,21845489
1508209116,21845489
1508209146,21845489
1508209176,21845489
1508209206,29157506
1508209236,29157506
1508209266,29157506
1508209296,29157506
1508209326,29157506
1508209356,29277885
1508209386,29277885
1508209416,29277885
1508209446,29277885
1508209476,29277885
1508209506,36525110
1508209536,36525110
1508209566,36525110
1508209596,36525110
1508209626,25852037
1508209656,33067177
1508209686,33067177
1508209716,33067177
1508209746,33067177
1508209776,33067177
1508209806,20850158
1508209836,20850158
1508209866,20850158
1508209896,20850158
1508209926,20850158
1508209956,28022305
1508209986,28022305
1508210016,28022305
1508210046,28022305
1508210076,28022305
1508210106,28022305
1508210136,35784607
1508210166,35784607
1508210196,35784607
1508210226,35784607
1508210256,35784607
1508210286,35784607
1508210316,21489997
1508210346,21489997
1508210376,21489997
1508210406,21489997
1508210436,21489997
1508210466,21489997
1508210496,29019287
1508210526,29019287
1508210556,29019287
1508210586,29019287
1508210616,29019287
1508210646,36579010
1508210676,36579010
1508210706,36579010
1508210736,36579010
1508210766,36579010
1508210796,36579010
1508210826,21780189
1508210856,21780189
1508210886,21780189
1508210916,21780189
1508210946,21780189
1508210976,21780189
1508211006,29293078
1508211036,29293078
1508211066,29293078
1508211096,29293078
1508211126,29293078
1508211156,36777358
1508211186,36777358
1508211216,36777358
1508211246,36777358
1508211276,36777358
1508211306,36777358
1508211336,21919712
1508211366,21919712
1508211396,21919712
1508211426,21919712
1508211456,21919712
1508211486,29364957
1508211516,29364957
1508211546,29364957
1508211576,29364957
1508211606,29364957
1508211636,36828370
1508211666,36828370
1508211696,36828370
1508211726,36828370
1508211756,36828370
1508211786,36828370
1508211816,22028323
1508211846,22028323
1508211876,22028323
1508211906,22028323
1508211936,22028323
1508211966,29434003
1508211996,29434003
1508212026,29434003
1508212056,29434003
1508212086,29434003
1508212116,36781409
1508212146,36781409
1508212176,36781409
1508212206,36781409
1508212236,36781409
1508212266,22092693
1508212296,22092693
1508212326,22092693
1508212356,22092693
1508212386,22092693
1508212416,29441519
1508212446,29441519
1508212476,29441519
1508212506,29441519
1508212536,29441519
1508212566,29441519
1508212596,36724887
1508212626,36724887
1508212656,36724887
1508212686,36724887
1508212716,36724887
1508212746,22132842
1508212776,22132842
1508212806,22132842
1508212836,22132842
1508212866,22132842
1508212896,29377483
1508212926,29377483
1508212956,29377483
1508212986,29377483
1508213016,29377483
1508213046,36649105
1508213076,36649105
1508213106,36649105
1508213136,36649105
1508213166,43865863
1508213196,22158339
1508213226,22158339
1508213256,22158339
1508213286,22158339
1508213316,29372536
1508213346,29372536
1508213376,29372536
1508213406,29372536
1508213436,29372536
1508213466,36573712
1508213496,36573712
1508213526,36573712
1508213556,36573712
1508213586,36573712
