t,count
1508068705,0
1508068735,0
1508068765,0
1508068795,0
1508068825,0
1508068856,0
1508068885,7768597
1508068915,7768597
1508068946,7768597
1508068975,7768597
1508069005,7768597
1508069035,7768597
1508069065,15445125
1508069095,15445125
1508069125,15445125
1508069155,15445125
1508069185,15445125
1508069215,23096464
1508069245,23096464
1508069275,23096464
1508069305,23096464
1508069335,23096464
1508069365,23096464
1508069395,9892522
1508069425,9892522
1508069455,9892522
1508069486,9892522
1508069515,9892522
1508069545,17515330
1508069575,17515330
1508069605,17515330
1508069635,17515330
1508069665,17515330
1508069695,25116971
1508069725,25116971
1508069755,25116971
1508069785,25116971
1508069815,25116971
1508069845,25116971
1508069875,10392426
1508069905,10392426
1508069935,10392426
1508069965,10392426
1508069995,10392426
1508070025,17989929
1508070055,17989929
1508070085,17989929
1508070115,17989929
1508070145,17989929
1508070175,25575448
1508070205,25575448
1508070235,25575448
1508070265,25575448
1508070295,25575448
1508070325,10620975
1508070355,10620975
1508070385,10620975
1508070415,10620975
1508070445,10620975
1508070475,18167325
1508070505,18167325
1508070535,18167325
1508070565,18167325
1508070595,18167325
1508070625,25681336
1508070655,25681336
1508070685,25681336
1508070715,25681336
1508070745,25681336
1508070776,10736250
1508070805,10736250
1508070835,10736250
1508070865,10736250
1508070895,10736250
1508070925,18220283
1508070955,18220283
1508070985,18220283
1508071015,18220283
1508071045,18220283
1508071075,25685597
1508071105,25685597
1508071135,25685597
1508071165,25685597
1508071195,25685597
1508071225,10816783
1508071255,10816783
1508071285,10816783
1508071315,10816783
1508071345,10816783
1508071375,18196325
1508071405,18196325
1508071435,18196325
1508071465,18196325
1508071495,18196325
1508071525,25622203
1508071555,25622203
1508071585,25622203
1508071615,25622203
1508071646,33004063
1508071675,10882400
1508071705,10882400
1508071735,10882400
1508071765,10882400
1508071795,18268309
1508071825,18268309
1508071855,18268309
1508071885,18268309
1508071915,18268309
1508071945,25619123
1508071975,25619123
1508072005,25619123
1508072035,25619123
1508072065,25619123
1508072095,10918122
1508072125,10918122
1508072155,10918122
1508072185,10918122
1508072215,18229180
1508072245,18229180
1508072275,18229180
1508072305,18229180
1508072335,18229180
1508072365,18229180
1508072395,26114740
1508072425,26114740
1508072456,26114740
1508072485,26114740
1508072515,26114740
1508072545,26114740
1508072575,10955392
1508072605,10955392
1508072635,10955392
1508072665,10955392
1508072695,10955392
1508072726,18663783
1508072755,18663783
1508072785,18663783
1508072815,18663783
1508072845,18663783
1508072875,18663783
1508072905,26279152
1508072935,26279152
1508072965,26279152
1508072995,26279152
1508073025,26279152
1508073055,10984231
1508073085,10984231
1508073115,10984231
1508073145,10984231
1508073175,10984231
1508073205,10984231
1508073235,18618726
1508073265,18618726
1508073295,18618726
1508073325,18618726
1508073355,18618726
1508073385,26223355
1508073415,26223355
1508073445,26223355
1508073475,26223355
1508073505,26223355
1508073536,11003136
1508073565,11003136
1508073595,11003136
1508073625,11003136
1508073655,11003136
1508073685,18585455
1508073715,18585455
1508073745,18585455
1508073776,18585455
1508073805,18585455
1508073835,18585455
1508073865,26130782
1508073895,26130782
1508073925,26130782
1508073955,26130782
1508073985,26130782
1508074015,11013237
1508074045,11013237
1508074075,11013237
1508074105,11013237
1508074135,11013237
1508074165,18522452
1508074196,18522452
1508074225,18522452
1508074255,18522452
1508074285,18522452
1508074315,26033474
1508074345,26033474
1508074375,26033474
1508074405,26033474
1508074435,26033474
1508074465,11023502
1508074495,11023502
1508074525,11023502
1508074555,11023502
1508074585,11023502
1508074615,18492865
1508074645,18492865
1508074675,18492865
1508074705,18492865
1508074735,18492865
1508074765,25945321
1508074795,25945321
1508074825,25945321
1508074855,25945321
1508074885,25945321
1508074915,11032344
1508074945,11032344
1508074976,11032344
1508075005,11032344
1508075035,11032344
1508075065,18460502
1508075095,18460502
1508075125,18460502
1508075155,18460502
1508075185,25880169
1508075215,25880169
1508075245,25880169
1508075275,25880169
1508075305,25880169
1508075335,11037905
1508075366,11037905
1508075395,11037905
1508075425,11037905
1508075455,11037905
1508075485,18417306
1508075515,18417306
1508075545,18417306
1508075576,18417306
1508075605,18417306
1508075635,25785304
1508075666,25785304
1508075695,25785304
1508075725,25785304
1508075756,11042432
1508075785,11042432
1508075815,11042432
1508075845,11042432
1508075875,11042432
1508075905,11042432
1508075935,18906691
1508075965,18906691
1508075996,18906691
1508076025,18906691
1508076055,18906691
1508076085,18906691
1508076115,26581186
1508076145,26581186
1508076175,26581186
1508076205,26581186
1508076235,26581186
1508076265,34255838
1508076295,11041550
1508076325,11041550
1508076355,11041550
1508076386,11041550
1508076416,11041550
1508076445,18696072
1508076476,18696072
1508076505,18696072
1508076535,18696072
1508076565,18696072
1508076595,26357947
1508076625,26357947
1508076655,26357947
1508076685,26357947
1508076715,26357947
1508076745,26357947
1508076775,11042649
1508076805,11042649
1508076835,11042649
1508076865,11042649
1508076895,11042649
1508076925,18686394
1508076955,18686394
1508076985,18686394
1508077015,18686394
1508077046,18686394
1508077075,26271936
1508077105,26271936
1508077136,26271936
1508077165,26271936
1508077195,26271936
1508077225,33841233
1508077255,18608652
1508077285,18608652
1508077315,18608652
1508077345,18608652
1508077376,18608652
1508077405,26170182
1508077435,26170182
1508077465,26170182
1508077495,26170182
1508077525,26170182
1508077555,33725263
1508077585,33725263
1508077615,33725263
1508077646,33725263
1508077675,33725263
1508077705,20788202
1508077735,20788202
1508077765,20788202
1508077795,20788202
1508077825,20788202
1508077855,28313897
1508077885,28313897
1508077915,28313897
1508077945,28313897
1508077975,28313897
1508078005,35833885
1508078035,35833885
1508078065,35833885
1508078095,35833885
1508078125,35833885
1508078155,21323615
1508078185,21323615
1508078215,21323615
1508078245,21323615
1508078275,21323615
1508078305,28775685
1508078336,28775685
1508078365,28775685
1508078395,28775685
1508078425,28775685
1508078455,36234755
1508078485,36234755
1508078515,36234755
1508078545,36234755
1508078575,36234755
1508078605,21557931
1508078635,21557931
1508078665,21557931
1508078695,21557931
1508078725,28960592
1508078755,28960592
1508078785,28960592
1508078816,28960592
1508078845,28960592
1508078875,36355732
1508078905,36355732
1508078935,36355732
1508078965,36355732
1508078995,36355732
1508079025,21716920
1508079055,21716920
1508079085,21716920
1508079115,21716920
1508079145,21716920
1508079175,29065317
1508079205,29065317
1508079235,29065317
1508079265,29065317
1508079295,36424000
1508079325,36424000
1508079355,36424000
1508079385,36424000
1508079415,36424000
1508079445,21806948
1508079476,21806948
1508079505,21806948
1508079535,21806948
1508079566,21806948
1508079595,21806948
1508079625,29724070
1508079655,29724070
1508079685,29724070
1508079715,29724070
1508079745,29724070
1508079775,29724070
1508079806,37402620
1508079835,37402620
1508079865,37402620
1508079895,37402620
1508079925,37402620
1508079955,21915791
1508079985,21915791
1508080015,21915791
1508080045,21915791
1508080075,21915791
1508080105,21915791
1508080136,29567814
1508080165,29567814
1508080195,29567814
1508080225,29567814
1508080256,29567814
1508080285,37249678
1508080315,37249678
1508080345,37249678
1508080375,37249678
1508080405,37249678
1508080435,21961424
1508080465,21961424
1508080495,21961424
1508080525,21961424
1508080555,21961424
1508080586,21961424
1508080615,29581887
1508080645,29581887
1508080676,29581887
1508080705,29581887
1508080735,29581887
1508080765,37182523
1508080795,37182523
1508080825,37182523
1508080855,37182523
1508080885,37182523
1508080915,21995876
1508080945,21995876
1508080975,21995876
1508081005,21995876
1508081035,21995876
1508081065,29566766
1508081095,29566766
