t,count
1508093755,0
1508093785,0
1508093815,0
1508093846,0
1508093875,0
1508093905,0
1508093935,0
1508093965,7895829
1508093995,7895829
1508094025,7895829
1508094055,7895829
1508094085,7895829
1508094115,7895829
1508094145,15660008
1508094175,15660008
1508094205,15660008
1508094235,15660008
1508094265,15660008
1508094296,23335970
1508094325,23335970
1508094355,23335970
1508094385,23335970
1508094415,23335970
1508094445,23335970
1508094475,30974672
1508094506,30974672
1508094535,30974672
1508094565,30974672
1508094596,30974672
1508094625,17751617
1508094655,17751617
1508094685,17751617
1508094715,17751617
1508094745,17751617
1508094775,25354438
1508094805,25354438
1508094835,25354438
1508094866,25354438
1508094895,25354438
1508094925,32971443
1508094955,32971443
1508094985,32971443
1508095015,32971443
1508095045,32971443
1508095075,32971443
1508095105,18241194
1508095135,18241194
1508095165,18241194
1508095195,18241194
1508095225,18241194
1508095255,25822373
1508095285,25822373
1508095316,25822373
1508095345,25822373
1508095375,25822373
1508095405,33362772
1508095435,33362772
1508095465,33362772
1508095495,33362772
1508095525,33362772
1508095556,18490399
1508095585,18490399
1508095615,18490399
1508095645,18490399
1508095675,18490399
1508095705,26005180
1508095735,26005180
1508095765,26005180
1508095795,26005180
1508095825,26005180
1508095855,33523963
1508095885,33523963
1508095915,33523963
1508095946,33523963
1508095975,33523963
1508096005,40988390
1508096035,18623569
1508096065,18623569
1508096095,18623569
1508096125,18623569
1508096155,26070599
1508096185,26070599
1508096215,26070599
1508096245,26070599
1508096275,26070599
1508096305,33519180
1508096335,33519180
1508096365,33519180
1508096395,33519180
1508096426,33519180
1508096455,40988030
1508096485,18714582
1508096515,18714582
1508096546,18714582
1508096575,18714582
1508096605,26089805
1508096636,26089805
1508096665,26089805
1508096695,26089805
1508096725,26089805
1508096755,33492650
1508096785,33492650
1508096815,33492650
1508096846,33492650
1508096875,33492650
1508096906,18767935
1508096935,18767935
1508096965,18767935
1508096995,18767935
1508097025,26122052
1508097055,26122052
1508097086,26122052
1508097115,26122052
1508097145,26122052
1508097176,33441508
1508097205,33441508
1508097235,33441508
1508097265,33441508
1508097295,33441508
1508097325,18815572
1508097355,18815572
1508097385,18815572
1508097415,18815572
1508097445,26095548
1508097476,26095548
1508097506,26095548
1508097535,26095548
1508097565,26095548
1508097596,26095548
1508097625,33985765
1508097655,33985765
1508097685,33985765
1508097715,33985765
1508097745,33985765
1508097775,33985765
1508097805,18856641
1508097835,18856641
1508097865,18856641
1508097895,18856641
1508097925,18856641
1508097955,26529116
1508097985,26529116
1508098015,26529116
1508098045,26529116
1508098075,26529116
1508098105,34181113
1508098135,34181113
1508098166,34181113
1508098195,34181113
1508098225,34181113
1508098255,34181113
1508098285,18879266
1508098315,18879266
1508098345,18879266
1508098376,18879266
1508098405,18879266
1508098435,26489230
1508098465,26489230
1508098495,26489230
1508098525,26489230
1508098555,26489230
1508098585,34094706
1508098615,34094706
1508098645,34094706
1508098675,34094706
1508098705,34094706
1508098736,34094706
1508098765,18894692
1508098795,18894692
1508098825,18894692
1508098855,18894692
1508098885,18894692
1508098915,26447639
1508098945,26447639
1508098975,26447639
1508099005,26447639
1508099035,26447639
1508099066,33974805
1508099095,33974805
1508099125,33974805
1508099155,33974805
1508099185,33974805
1508099215,18904744
1508099245,18904744
1508099275,18904744
1508099306,18904744
1508099335,18904744
1508099366,26442007
1508099395,26442007
1508099426,26442007
1508099455,26442007
1508099485,26442007
1508099515,33948258
1508099545,33948258
1508099575,33948258
1508099605,33948258
1508099635,33948258
1508099665,18912720
1508099695,18912720
1508099725,18912720
1508099755,18912720
1508099785,18912720
1508099815,26383177
1508099845,26383177
1508099875,26383177
1508099905,26383177
1508099935,26383177
1508099965,33821274
1508099995,33821274
1508100025,33821274
1508100055,33821274
1508100085,33821274
1508100115,18922504
1508100145,18922504
1508100175,18922504
1508100205,18922504
1508100235,18922504
1508100265,26326644
1508100295,26326644
1508100325,26326644
1508100355,26326644
1508100386,26326644
1508100415,33721540
1508100445,33721540
1508100476,33721540
1508100505,33721540
1508100535,41073408
1508100565,18927970
1508100595,18927970
1508100625,18927970
1508100655,18927970
1508100685,26303871
1508100715,26303871
1508100745,26303871
1508100775,26303871
1508100805,26303871
1508100835,33639104
1508100865,33639104
1508100896,33639104
1508100925,33639104
1508100955,18932409
1508100985,18932409
1508101015,18932409
1508101045,18932409
1508101075,18932409
1508101105,18932409
1508101135,18932409
1508101165,26808356
1508101195,26808356
1508101225,26808356
1508101256,26808356
1508101285,26808356
1508101315,26808356
1508101345,34684762
1508101375,34684762
1508101405,34684762
1508101435,34684762
1508101465,34684762
1508101495,18931638
1508101525,18931638
1508101555,18931638
1508101586,18931638
1508101615,18931638
1508101645,18931638
1508101675,26581164
1508101706,26581164
1508101735,26581164
1508101765,26581164
1508101795,26581164
1508101825,34225312
1508101855,34225312
1508101885,34225312
1508101915,34225312
1508101945,34225312
1508101975,19245759
1508102005,19245759
1508102035,19245759
1508102065,19245759
1508102095,19245759
1508102125,19245759
1508102155,26848957
1508102186,26848957
1508102215,26848957
1508102245,26848957
1508102275,26848957
1508102305,34451446
1508102335,34451446
1508102365,34451446
1508102395,34451446
1508102425,34451446
