metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;1minuto
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204721;50373490;count;4001882136;3806147228;3942802907;3848468867;4064237469;3820988816;4128403791;3965526349;3757802293;3762901696;39099161552
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204751;50373491;count;4029956287;3824838001;3970702691;3876824968;4093742350;3840721233;4157872945;3985001647;3785469755;3782559815;39347689692
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204781;50373492;count;4048722380;3852867999;3989309347;3895698906;4113368727;3860070188;4177454521;4014189046;3803775880;3802156325;39557613319
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204811;50373493;count;4076818598;3880930590;4017232659;3914745814;4133112510;3889226553;4197154715;4043366732;3831720109;3831758028;39816066308
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204841;50373494;count;4095769504;3899618099;4035896368;3943058385;4152928119;3908664894;4226647614;4062666806;3852240632;3851393604;40028884025
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204871;50373495;count;4123690057;3927720919;4063761055;3962044334;4182463201;3927989220;4246266636;4091770758;3872828807;3870977674;40269512661
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204901;50373496;count;4142158796;3946373526;4082348577;3990450551;4202002070;3957094529;4275471251;4111205569;3902373985;3890640748;40500119602
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204931;50373497;count;4170087753;3974478456;4100762384;4009483024;4221615632;3976541967;4294980763;4130696800;3922103647;3920199657;40720950083
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204961;50373498;count;4188669266;3993159884;4165586629;4028262254;4251131462;4005658247;4324346035;4150206159;3941821059;3939806469;40988647464
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511204991;50373499;count;4216444788;4011830377;4156276345;4056591575;4280383746;4025091784;4353666219;4179349395;3961487407;3969059910;41210181546
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205021;50373500;count;4244379617;4039771405;4184053483;4075162200;4309516515;4054171240;4382961470;4208418539;3991053862;3988611978;41478100309
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205051;50373501;count;4272279087;4067702441;4211660580;4103495114;4338904963;4073523281;4412125324;4227876983;4010617848;4008172084;41726357705
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205081;50373502;count;4300111916;4086262544;4239392882;4131812480;4358399072;4102433186;4431675187;4256943822;4040087033;4037587796;41984705918
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205111;50373503;count;4327967338;4114158250;4257768511;4160063810;4387682547;4121670345;4460948711;4285919987;4069587687;4057068576;42242835762
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205141;50373504;count;4355580195;4142083998;4285622120;4178986623;4416903540;4150629020;4490286477;4314814142;4089302286;4086430197;42510638598
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205171;50373505;count;4383303075;4169985632;4313195643;4207252039;4446307768;4179613270;4519259744;4343759751;4118541082;4105821235;42787039239
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205201;50373506;count;4401523122;4188616895;4341018785;4226035174;4465747062;4208528072;4548427245;4363006841;4138167376;4135201637;43016272209
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205231;50373507;count;4429251574;4216322412;4368339604;4254277018;4495100098;4227580321;4567832118;4392033069;4167449033;4154591754;43272777001
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205261;50373508;count;4456916806;4244201305;4395976384;4282289808;4524039995;4256624590;4606716784;4420883338;4187057925;4183994852;43558701787
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205291;50373509;count;4484686213;4272083465;4423429654;4310451374;4553324883;4275791180;4626024878;4449920093;4216371142;4213115284;43825198166
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205321;50373510;count;4512348140;4290445840;4441774338;4329111102;4572789583;4304819794;4655177595;4469279737;4235958020;4232542213;44044246362
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205351;50373511;count;4540091731;4318174427;4469438131;4357259364;4601890466;4324073984;4684143792;4488552034;4265364350;4261739161;44310727440
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205381;50373512;count;4558722139;4336630218;4533806950;4376078908;4621318301;4352771081;4703531151;4517486671;4284849886;4281183306;44566378611
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205411;50373513;count;4586285500;4364370005;4515444903;4404312163;4650522715;4372139984;4732648021;4546336500;4304360634;4300547369;44776967794
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205441;50373514;count;4604686096;4382767241;4543058466;4423014269;4679541418;4400924545;4761768855;4565433311;4333728044;4329718989;45024641234
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205471;50373515;count;4641463526;4410484804;4563448146;4451172699;4698980500;4420076762;4781111902;4594282118;4353512705;4349043993;45263577155
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205502;50373516;count;4659781775;4438134281;4594398585;4479209887;4728102918;4448970376;4810338273;4623029921;4382665049;4378191802;45542822867
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205531;50373517;count;4687333798;4465821299;4623775412;4507191245;4757263460;4477812043;4839137567;4651814815;4411858684;4397550521;45819558844
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205561;50373518;count;4714686714;4493437694;4643402763;4525728519;4776605513;4506639882;4868089910;4671049907;4431122239;4426511651;46057274792
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205591;50373519;count;4742272889;4521135237;4673025578;4553712844;4805493047;4525724622;4897046725;4699782406;4460337524;4455584850;46334115722
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205621;50373520;count;4769673533;4539486546;4692623964;4581724318;4834394585;4544950634;4916351544;4728492798;4479775723;4474823700;46562297345
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205651;50373521;count;4797318156;4567027116;4722206411;4600327470;4863446470;4573717210;4945361487;4747642103;4508900733;4503854731;46829801887
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205681;50373522;count;4815532456;4585304446;4741882622;4628168754;4882745055;4602278809;4974300957;4776396661;4576761582;4523054362;47106425704
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205711;50373523;count;4843058788;4612842438;4771319494;4656032699;4921415087;4630879757;5003107760;4804966299;4557399366;4552172104;47353193792
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205741;50373524;count;4870275250;4695445240;4800858765;4683919672;4940587677;4649837151;5032035488;4823963977;4576649318;4571348291;47644920829
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205771;50373525;count;4897635066;4667882615;4830113330;4702569174;4969602814;4678490067;5060794763;4852519402;4605837219;4600384180;47865828630
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205801;50373526;count;4915876547;4686187620;4849707407;4721186932;4988842304;4697529497;5079990036;4871594756;4625198879;4619699073;48055813051
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205831;50373527;count;4943224318;4713655465;4869214086;4749084920;5017903814;4726172882;5108747698;4900195227;4644485987;4648831583;48321515980
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205861;50373528;count;4970607668;4731995000;4888746751;4776824994;5037137290;4745206920;5137550601;4928786268;4635924644;4668169316;48520949452
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205891;50373529;count;4998027883;4759488630;4918118015;4795347992;5075625522;4773733446;5119317142;4957411240;4665023894;4696928933;48759022697
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205921;50373530;count;5025262508;4786784199;4947410254;4822989737;5094616776;4802289582;5148211325;4976424238;4684382540;4716078652;49004449811
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205951;50373531;count;5052539236;4814175930;4976748013;4850778820;5123396153;4821261006;5176916787;5005069993;4713282963;4744959100;49279128001
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511205981;50373532;count;5072843617;4841552693;4996347670;4878619995;5152297704;4849682575;5205641210;5033526205;4732646409;4764010848;49527168926
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206011;50373533;count;5103457516;4859751729;5025752546;4897017932;5171358585;4868665374;5224869181;5052528879;4761694654;4793033373;49758129769
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206041;50373534;count;5122927520;4877974194;5045383407;4924717041;5200113363;4897110990;5253629331;5081019600;4781002034;4812242930;49996120410
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206071;50373535;count;5152178058;4905456270;5074732737;4952419741;5228955335;4916022274;5282154796;5109497141;4809966885;4840981243;50272364480
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206101;50373536;count;5181474050;4932839539;5094251059;4970842852;5248142714;4944414261;5310655748;5128374946;4829138087;4860060172;50500193428
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206131;50373537;count;5200975936;4996605007;5123497852;4998590413;5276884314;4972878980;5339349510;5156870783;4857972952;4879307280;50802933027
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206161;50373538;count;5230205893;4980428500;5152712801;5026224515;5305354173;4991846020;5358501175;5185199728;4877101190;4908103295;51015677290
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206191;50373539;count;5249744644;5010649480;5181671475;5044560319;5334025311;5020182535;5386880138;5204206414;4905980712;4927200266;51265101294
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206221;50373540;count;5278967208;5030153946;5201073995;5072156418;5353086916;5039080965;5415607426;5232670858;4925163905;4955883491;51503845128
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206251;50373541;count;5308269365;5059457862;5220411187;5099723120;5381641569;5067623205;5434686907;5261086201;4954022424;4984548577;51771470417
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206281;50373542;count;5327561390;5088652363;5249473796;5117919766;5410133368;5095932775;5463306437;5289229295;4982727249;5003575000;52028511439
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206311;50373543;count;5356856516;5108197101;5278657466;5145556645;5438798229;5114609568;5491825326;5317589254;5001956003;5032298814;52286344922
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206341;50373544;count;5385895421;5137326480;5298131292;5172964669;5458005495;5142924192;5520491433;5336365957;5030766714;5051302073;52534173726
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206371;50373545;count;5405277449;5156811475;5327105050;5201668479;5486635885;5171218134;5548900840;5364695990;5049974369;5080040163;52792327834
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206401;50373546;count;5434355584;5186041961;5356269472;5222107992;5515312683;5199439748;5577439935;5392801982;5078620385;5099074232;53061463974
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206431;50373547;count;4962762199;4685391817;5375523196;4658573154;5534149489;5218338118;5596372560;5421127090;5107287983;4654865492;51214391098
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206461;50373548;count;4982070373;4704881123;4914951126;4678307318;4996950529;4709980500;5624799751;4884263267;4642095774;4673886480;48812186241
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206491;50373549;count;5011190571;4724381976;4944059995;4697835595;5025406958;4728889317;5057426820;4903094096;4670710724;4702347493;48465343545
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206521;50373550;count;5030562241;4743780016;4963492111;4717556191;5044552122;4757218473;5076444046;4921993719;4680131295;4721409166;48657139380
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206551;50373551;count;5059605615;4772757305;4982786835;4737280737;5072968327;4776009951;5104911462;4950251666;4708851824;4749911962;48915335684
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206581;50373552;count;5079081796;4792163657;5002297041;4766838290;5091907101;4794777264;5123788480;4968951248;4728216036;4768938980;49116959893
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206611;50373553;count;5098535756;4811630295;5031307714;4786534747;5110943448;4822870180;5142712932;4997109511;4747235120;4787874442;49336754145
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206642;50373554;count;5117867118;4831028135;5050521740;4806137060;5129900263;4841614735;5171122736;5015747765;4766238782;4806895138;49537073472
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206671;50373555;count;5137137582;4850519468;5069867059;4825783035;5158275534;4860324906;5190242709;5043984513;4785372867;4825870727;49747378400
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206701;50373556;count;5166171176;4869974382;5089186497;4845502958;5177286763;4879100026;5218581317;5072104134;4813950052;4854435209;49986292514
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206731;50373557;count;5185458313;4899215486;5108382253;4865055547;5205697769;4907241365;5237341200;5090864677;4832918768;4863960711;50196136089
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206761;50373558;count;5214366882;4918629593;5127680075;4884664752;5224643764;4925929900;5265672055;5109601174;4861341077;4892478994;50425008266
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206791;50373559;count;5233700334;4947890784;5166041839;4904269831;5252913160;4954104822;5284565353;5137650045;4880367520;4920798870;50682302558
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206821;50373560;count;5252935160;4967094954;5185284135;4933536111;5281125937;4972822076;5312824755;5156349991;4899377194;4939575945;50900926258
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206851;50373561;count;5281855196;4986330121;5214072008;4953501825;5309467913;5000972491;5350527592;5184441107;4927795963;4958434598;51167398814
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206881;50373562;count;5310793635;5015262189;5233217952;4982737281;5328236656;5019532580;5369369267;5202956360;4946743141;4977322757;51386171818
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206911;50373563;count;5330090917;5034536323;5262068738;5002233439;5356501642;5047477801;5397657362;5230915623;4975261961;5005603802;51642347608
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206941;50373564;count;5358749347;5063455315;5281124491;5031647980;5375364773;5066025645;5416515406;5258941984;4994203854;5024508137;51870536932
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511206971;50373565;count;5387589184;5082691978;5310058006;5051193436;5403660424;5093964669;5444744581;5277598690;5022655217;5052847132;52127003317
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207001;50373566;count;5406747303;5101877934;5329132280;5080503784;5431839243;5121869155;5472938339;5305456752;5041423382;5071606465;52363394637
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207031;50373567;count;4792491661;5130956999;5357666988;5100006656;5460197095;5140504504;5501026214;5333423678;5060312778;4552592488;51429179061
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207061;50373568;count;4821108815;4654918440;4743280527;4628105840;4831271452;4663959931;5519717671;4788862787;4540299720;4580814689;47772339872
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207091;50373569;count;4840205718;4674168675;4781491599;4657215835;4868780992;4682489010;5001054701;4807427271;4568644405;4599565165;47481043371
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207121;50373570;count;4868860636;4693247208;4800439474;4676584349;4887298958;4710477507;5029158413;4835291113;4587375294;4627746958;47716479910
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207151;50373571;count;4897604033;4722050050;4819457861;4705735111;4906061225;4738348321;5057006663;4863183365;4615732673;4646449544;47971628846
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207181;50373572;count;4916778060;4741253299;4848093994;4725131443;4934234842;4756819814;5085138579;4881674461;4634686827;4674562540;48198373859
Table.TotalDiskSpaceUsed.lucasdb.tw_ttl_1h_1min;1511207211;50373573;count;4945482983;4770056462;4876745954;4744643410;4962336453;4784611267;5103809219;4909389452;4663018864;4693274632;48453368696
