t,count
1508118810,0
1508118840,0
1508118870,0
1508118900,0
1508118930,0
1508118960,7294777
1508118990,7294777
1508119020,7294777
1508119050,7294777
1508119080,7294777
1508119110,15196617
1508119140,15196617
1508119170,15196617
1508119200,15196617
1508119230,15196617
1508119260,22894995
1508119290,22894995
1508119320,22894995
1508119350,22894995
1508119380,22894995
1508119410,30564948
1508119440,10041370
1508119470,10041370
1508119500,10041370
1508119530,10041370
1508119560,10041370
1508119590,17678586
1508119620,17678586
1508119650,17678586
1508119680,17678586
1508119710,25335319
1508119740,25335319
1508119770,25335319
1508119800,25335319
1508119830,25335319
1508119860,10630412
1508119890,10630412
1508119920,10630412
1508119950,10630412
1508119980,10630412
1508120010,18229307
1508120040,18229307
1508120070,18229307
1508120100,18229307
1508120130,18229307
1508120160,25814670
1508120190,25814670
1508120220,25814670
1508120250,25814670
1508120280,25814670
1508120310,10925001
1508120340,10925001
1508120370,10925001
1508120400,10925001
1508120430,18461556
1508120460,18461556
1508120490,18461556
1508120520,18461556
1508120550,18461556
1508120580,25996091
1508120610,25996091
1508120640,25996091
1508120670,25996091
1508120700,25996091
1508120730,11107649
1508120760,11107649
1508120790,11107649
1508120820,11107649
1508120850,18601948
1508120880,18601948
1508120910,18601948
1508120940,18601948
1508120970,18601948
1508121000,26090003
1508121030,26090003
1508121060,26090003
1508121090,26090003
1508121120,26090003
1508121150,11206467
1508121180,11206467
1508121210,11206467
1508121240,11206467
1508121270,18667442
1508121300,18667442
1508121330,18667442
1508121360,18667442
1508121390,26083007
1508121420,26083007
1508121450,26083007
1508121480,26083007
1508121510,26083007
1508121540,11283400
1508121570,11283400
1508121600,11283400
1508121630,11283400
1508121660,18687916
1508121690,18687916
1508121720,18687916
1508121750,18687916
1508121780,18687916
1508121810,26049038
1508121840,26049038
1508121870,26049038
1508121900,26049038
1508121930,33393980
1508121960,33393980
1508121990,33393980
1508122020,33393980
1508122050,21204779
1508122080,21204779
1508122110,21204779
1508122140,21204779
1508122170,21204779
1508122200,28522356
1508122230,28522356
1508122260,28522356
1508122290,28522356
1508122320,35784016
1508122350,35784016
1508122380,35784016
1508122410,35784016
1508122440,21810424
1508122470,21810424
1508122500,21810424
1508122530,21810424
1508122560,29063238
1508122590,29063238
1508122620,29063238
1508122650,29063238
1508122680,29063238
1508122710,29063238
1508122740,37011075
1508122770,37011075
1508122800,37011075
1508122830,37011075
1508122860,37011075
1508122890,22166252
1508122920,22166252
1508122950,22166252
1508122980,22166252
1508123010,22166252
1508123040,29864231
1508123070,29864231
1508123100,29864231
1508123130,29864231
1508123160,29864231
1508123190,37509387
1508123220,37509387
1508123250,37509387
1508123280,37509387
1508123310,37509387
1508123340,22380360
1508123370,22380360
1508123400,22380360
1508123430,22380360
1508123460,22380360
1508123490,29996417
1508123520,29996417
1508123550,29996417
1508123580,29996417
1508123610,29996417
1508123640,37618812
1508123670,37618812
1508123700,37618812
1508123730,37618812
1508123760,22518469
1508123790,22518469
1508123820,22518469
1508123850,22518469
1508123880,22518469
1508123910,30091592
1508123940,30091592
1508123970,30091592
1508124000,30091592
1508124030,30091592
1508124060,37618689
1508124090,37618689
1508124120,37618689
1508124150,37618689
1508124180,45169351
1508124210,22594234
1508124240,22594234
1508124270,22594234
1508124300,22594234
1508124330,30085836
1508124360,30085836
1508124390,30085836
1508124420,30085836
1508124450,30085836
1508124480,37589598
1508124510,37589598
1508124540,37589598
1508124570,37589598
1508124600,22650621
1508124630,22650621
1508124660,22650621
1508124690,22650621
1508124720,22650621
1508124750,30121174
1508124780,30121174
1508124810,30121174
1508124840,30121174
1508124870,37569761
1508124900,37569761
1508124930,37569761
1508124960,37569761
1508124990,37569761
1508125020,22687479
1508125050,22687479
1508125080,22687479
1508125110,22687479
1508125140,30100498
1508125170,30100498
1508125200,30100498
1508125230,30100498
1508125260,30100498
1508125290,37481124
1508125320,37481124
1508125350,37481124
1508125380,37481124
1508125410,22714116
1508125440,22714116
1508125470,22714116
1508125500,22714116
1508125530,30034167
1508125560,30034167
1508125590,30034167
1508125620,30034167
1508125650,30034167
1508125680,37343731
1508125710,37343731
1508125740,37343731
1508125770,37343731
1508125800,22734211
1508125830,22734211
1508125860,22734211
1508125890,22734211
1508125920,30022778
1508125950,30022778
1508125980,30022778
1508126010,30022778
1508126040,37297634
1508126070,37297634
1508126100,37297634
1508126130,37297634
1508126160,37297634
1508126190,22748713
1508126220,22748713
1508126250,22748713
1508126280,22748713
1508126310,22748713
1508126340,30718703
1508126370,30718703
1508126400,30718703
1508126430,30718703
1508126460,30718703
1508126490,38436898
1508126520,38436898
1508126550,38436898
1508126580,38436898
1508126610,38436898
1508126640,22762107
1508126670,22762107
1508126700,22762107
1508126730,22762107
1508126760,22762107
1508126790,30404012
1508126820,30404012
1508126850,30404012
1508126880,30404012
1508126910,30404012
1508126940,38041126
1508126970,38041126
1508127000,38041126
1508127030,38041126
1508127060,38041126
1508127090,22771086
1508127120,22771086
1508127150,22771086
1508127180,22771086
1508127210,30393387
1508127240,30393387
1508127270,30393387
1508127300,30393387
1508127330,30393387
1508127360,37970413
1508127390,37970413
1508127420,37970413
1508127450,37970413
1508127480,37970413
1508127510,22774523
1508127540,22774523
1508127570,22774523
1508127600,22774523
1508127630,22774523
1508127660,30317333
1508127690,30317333
1508127720,30317333
1508127750,30317333
1508127780,37850134
1508127810,37850134
1508127840,37850134
1508127870,37850134
1508127900,37850134
1508127930,22777824
1508127960,22777824
1508127990,22777824
1508128020,22777824
1508128050,22777824
1508128080,30278144
1508128110,30278144
1508128140,30278144
1508128170,30278144
1508128200,37782482
1508128230,37782482
1508128260,37782482
1508128290,37782482
1508128320,37782482
1508128350,22781215
1508128380,22781215
1508128410,22781215
1508128440,22781215
1508128470,30230225
1508128500,30230225
1508128530,30230225
1508128560,30230225
1508128590,30230225
1508128620,37633466
1508128650,37633466
1508128680,37633466
1508128710,37633466
1508128740,22785662
1508128770,22785662
1508128800,22785662
1508128830,22785662
1508128860,22785662
1508128890,30167801
1508128920,30167801
1508128950,30167801
1508128980,30167801
1508129010,37522466
1508129040,37522466
1508129070,37522466
1508129100,37522466
1508129130,22790344
1508129160,22790344
1508129190,22790344
1508129220,22790344
1508129250,22790344
1508129280,30129355
1508129310,30129355
1508129340,30129355
1508129370,30129355
1508129400,37472562
1508129430,37472562
1508129460,37472562
1508129490,37472562
1508129520,23112728
1508129550,23112728
1508129580,23112728
1508129610,23112728
1508129640,30399495
1508129670,30399495
1508129700,30399495
1508129730,30399495
1508129760,30399495
1508129790,37647941
1508129820,37647941
1508129850,37647941
1508129880,37647941
1508129910,37647941
1508129940,23113207
1508129970,23113207
1508130000,23113207
1508130030,23113207
1508130060,23113207
1508130090,30804129
1508130120,30804129
1508130150,30804129
1508130180,30804129
1508130210,30804129
1508130240,38505705
1508130270,38505705
1508130300,38505705
1508130330,38505705
1508130360,38505705
1508130390,23111142
1508130420,23111142
1508130450,23111142
1508130480,23111142
1508130510,23111142
1508130540,30755780
1508130570,30755780
1508130600,30755780
1508130630,30755780
1508130660,30755780
1508130690,38384673
1508130720,38384673
1508130750,38384673
1508130780,38384673
1508130810,38384673
1508130840,23311967
1508130870,23311967
1508130900,23311967
1508130930,23311967
1508130960,30901630
1508130990,30901630
1508131020,30901630
1508131050,30901630
1508131080,30901630
1508131110,38474299
1508131140,38474299
1508131170,38474299
1508131200,38474299
1508131230,38474299
1508131260,30930830
1508131290,30930830
1508131320,30930830
1508131350,30930830
1508131380,38480901
1508131410,38480901
1508131440,38480901
1508131470,38480901
1508131500,38480901
1508131530,45995716
1508131560,45995716
1508131590,45995716
1508131620,45995716
1508131650,45995716
1508131680,33389156
1508131710,33389156
1508131740,33389156
1508131770,33389156
1508131800,40881496
1508131830,40881496
1508131860,40881496
1508131890,40881496
1508131920,40881496
1508131950,48364399
1508131980,48364399
1508132010,48364399
1508132040,48364399
1508132070,34005863
1508132100,34005863
1508132130,34005863
1508132160,34005863
1508132190,34005863
1508132220,41415691
1508132250,41415691
1508132280,41415691
1508132310,41415691
1508132340,48835553
1508132370,48835553
1508132400,48835553
1508132430,48835553
1508132460,34306135
1508132490,34306135
1508132520,34306135
1508132550,34306135
1508132580,34306135
1508132610,41657297
1508132640,41657297
1508132670,41657297
1508132700,41657297
1508132730,49003224
1508132760,49003224
1508132790,37719824
1508132820,37719824
1508132850,23216557
1508132880,23216557
1508132910,23216557
1508132940,23216557
1508132970,23216557
1508133000,30528286
1508133030,30528286
1508133060,30528286
1508133090,30528286
1508133120,37826249
1508133150,37826249
1508133180,37826249
1508133210,37826249
1508133240,23333406
1508133270,23333406
1508133300,23333406
1508133330,23333406
1508133360,30598208
1508133390,30598208
1508133420,30598208
1508133450,30598208
1508133480,30598208
1508133510,30598208
1508133540,38565668
1508133570,38565668
1508133600,38565668
1508133630,38565668
1508133660,38565668
1508133690,23410562
1508133720,23410562
1508133750,23410562
1508133780,23410562
1508133810,23410562
1508133840,31094334
1508133870,31094334
1508133900,31094334
1508133930,31094334
1508133960,31094334
1508133990,38758080
1508134020,38758080
1508134050,38758080
1508134080,38758080
1508134110,38758080
1508134140,23465435
1508134170,23465435
1508134200,23465435
1508134230,23465435
1508134260,23465435
1508134290,31108361
1508134320,31108361
1508134350,31108361
1508134380,31108361
1508134410,38715198
1508134440,38715198
1508134470,38715198
1508134500,38715198
1508134530,38715198
1508134560,23497755
1508134590,23497755
1508134620,23497755
1508134650,23497755
1508134680,23497755
1508134710,31089830
1508134740,31089830
1508134770,31089830
1508134800,31089830
1508134830,38643918
1508134860,38643918
1508134890,38643918
1508134920,38643918
1508134950,38643918
1508134980,23526673
1508135010,23526673
1508135040,23526673
1508135070,23526673
1508135100,23526673
1508135130,31083598
1508135160,31083598
1508135190,31083598
1508135220,31083598
1508135250,38600193
1508135280,38600193
1508135310,38600193
1508135340,38600193
1508135370,38600193
1508135400,23547882
1508135430,23547882
1508135460,23547882
1508135490,23547882
1508135520,31006011
1508135550,31006011
1508135580,31006011
1508135610,31006011
1508135640,31006011
1508135670,38447408
1508135700,38447408
1508135730,38447408
1508135760,38447408
1508135790,23559168
1508135820,23559168
1508135850,23559168
1508135880,23559168
1508135910,23559168
1508135940,30974546
1508135970,30974546
1508136000,30974546
1508136030,30974546
1508136060,38386495
1508136090,38386495
1508136120,38386495
1508136150,38386495
1508136180,23571571
1508136210,23571571
1508136240,23571571
1508136270,23571571
1508136300,23571571
1508136330,30933461
1508136360,30933461
1508136390,30933461
1508136420,30933461
1508136450,38266251
1508136480,38266251
1508136510,38266251
1508136540,38266251
1508136570,23576005
1508136600,23576005
1508136630,23576005
1508136660,23576005
1508136690,23576005
1508136720,30858683
1508136750,30858683
1508136780,30858683
1508136810,30858683
1508136840,38151644
1508136870,38151644
1508136900,38151644
1508136930,38151644
1508136960,23581792
1508136990,23581792
1508137020,23581792
1508137050,23581792
1508137080,23581792
1508137110,23581792
1508137140,31539208
1508137170,31539208
1508137200,31539208
1508137230,31539208
1508137260,31539208
1508137290,39235050
1508137320,39235050
1508137350,39235050
1508137380,39235050
1508137410,39235050
1508137440,23586116
1508137470,23586116
1508137500,23586116
1508137530,23586116
1508137560,23586116
1508137590,31261506
1508137620,31261506
1508137650,31261506
1508137680,31261506
1508137710,38903468
1508137740,38903468
1508137770,38903468
1508137800,38903468
1508137830,38903468
1508137860,46507226
1508137890,23590656
1508137920,23590656
1508137950,23590656
1508137980,23590656
1508138010,31190262
1508138040,31190262
1508138070,31190262
1508138100,31190262
1508138130,31190262
1508138160,38784062
1508138190,38784062
1508138220,38784062
1508138250,38784062
1508138280,38784062
1508138310,23593949
1508138340,23593949
1508138370,23593949
1508138400,23593949
1508138430,31135605
1508138460,31135605
1508138490,31135605
1508138520,31135605
1508138550,31135605
1508138580,38665233
1508138610,38665233
1508138640,38665233
1508138670,38665233
1508138700,38665233
1508138730,23596441
1508138760,23596441
1508138790,23596441
1508138820,23596441
1508138850,31114277
1508138880,31114277
1508138910,31114277
1508138940,31114277
1508138970,31114277
1508139000,38608740
1508139030,38608740
1508139060,38608740
1508139090,38608740
1508139120,38608740
1508139150,23921371
1508139180,23921371
1508139210,23921371
1508139240,23921371
1508139270,31391444
1508139300,31391444
1508139330,31391444
1508139360,31391444
1508139390,31391444
1508139420,38811330
1508139450,38811330
1508139480,38811330
1508139510,38811330
1508139540,23925308
1508139570,23925308
1508139600,23925308
1508139630,23925308
1508139660,31327358
1508139690,31327358
1508139720,31327358
1508139750,31327358
1508139780,31327358
1508139810,38677458
1508139840,38677458
1508139870,38677458
1508139900,38677458
1508139930,23927188
1508139960,23927188
1508139990,23927188
1508140020,23927188
1508140050,31259077
1508140080,31259077
1508140110,31259077
1508140140,31259077
1508140170,31259077
1508140200,38573509
1508140230,38573509
1508140260,38573509
1508140290,38573509
1508140320,23929252
1508140350,23929252
1508140380,23929252
1508140410,23929252
1508140440,31204800
1508140470,31204800
1508140500,31204800
1508140530,31204800
1508140560,38441563
1508140590,38441563
1508140620,38441563
1508140650,38441563
1508140680,38441563
1508140710,38441563
1508140740,24201041
1508140770,24201041
1508140800,24201041
1508140830,24201041
1508140860,24201041
1508140890,31902688
1508140920,31902688
1508140950,31902688
1508140980,31902688
1508141010,31902688
1508141040,39598073
1508141070,39598073
1508141100,39598073
1508141130,39598073
1508141160,39598073
1508141190,47255944
1508141220,47255944
1508141250,47255944
1508141280,47255944
1508141310,47255944
1508141340,34270516
1508141370,34270516
1508141400,34270516
1508141430,34270516
1508141460,41906444
1508141490,41906444
1508141520,41906444
1508141550,41906444
1508141580,41906444
1508141610,49506666
1508141640,49506666
1508141670,49506666
1508141700,49506666
1508141730,49506666
1508141760,34862806
1508141790,34862806
1508141820,34862806
1508141850,34862806
1508141880,34862806
1508141910,42437136
1508141940,42437136
1508141970,42437136
1508142000,42437136
1508142030,42437136
1508142060,49971946
1508142090,49971946
1508142120,49971946
