t,count
1508068710,0
1508068740,0
1508068770,0
1508068800,0
1508068830,0
1508068860,7717169
1508068890,7717169
1508068920,7717169
1508068950,7717169
1508068980,7717169
1508069010,7717169
1508069040,15403613
1508069070,15403613
1508069100,15403613
1508069130,15403613
1508069160,15403613
1508069190,23079887
1508069220,23079887
1508069250,23079887
1508069280,23079887
1508069310,30731899
1508069340,10060946
1508069370,10060946
1508069400,10060946
1508069430,10060946
1508069460,17741229
1508069490,17741229
1508069520,17741229
1508069550,17741229
1508069580,17741229
1508069610,25378476
1508069640,25378476
1508069670,25378476
1508069700,25378476
1508069730,25378476
1508069760,10689678
1508069790,10689678
1508069820,10689678
1508069850,10689678
1508069880,10689678
1508069910,18276829
1508069940,18276829
1508069970,18276829
1508070000,18276829
1508070030,25839864
1508070060,25839864
1508070090,25839864
1508070120,25839864
1508070150,25839864
1508070180,10963566
1508070210,10963566
1508070240,10963566
1508070270,10963566
1508070300,10963566
1508070330,18474600
1508070360,18474600
1508070390,18474600
1508070420,18474600
1508070450,26020244
1508070480,26020244
1508070510,26020244
1508070540,26020244
1508070570,26020244
1508070600,11095795
1508070630,11095795
1508070660,11095795
1508070690,11095795
1508070720,11095795
1508070750,18586446
1508070780,18586446
1508070810,18586446
1508070840,18586446
1508070870,26082570
1508070900,26082570
1508070930,26082570
1508070960,26082570
1508070990,26082570
1508071020,11209035
1508071050,11209035
1508071080,11209035
1508071110,11209035
1508071140,18669797
1508071170,18669797
1508071200,18669797
1508071230,18669797
1508071260,18669797
1508071290,26093311
1508071320,26093311
1508071350,26093311
1508071380,26093311
1508071410,11294426
1508071440,11294426
1508071470,11294426
1508071500,11294426
1508071530,11294426
1508071560,18675018
1508071590,18675018
1508071620,18675018
1508071650,18675018
1508071680,26047969
1508071710,26047969
1508071740,26047969
1508071770,26047969
1508071800,11360919
1508071830,11360919
1508071860,11360919
1508071890,11360919
1508071920,11360919
1508071950,18706009
1508071980,18706009
1508072010,18706009
1508072040,18706009
1508072070,26031697
1508072100,26031697
1508072130,26031697
1508072160,26031697
1508072190,11390819
1508072220,11390819
1508072250,11390819
1508072280,11390819
1508072310,11390819
1508072340,11390819
1508072370,19319588
1508072400,19319588
1508072430,19319588
1508072460,19319588
1508072490,19319588
1508072520,27007049
1508072550,27007049
1508072580,27007049
1508072610,27007049
1508072640,27007049
1508072670,11423061
1508072700,11423061
1508072730,11423061
1508072760,11423061
1508072790,11423061
1508072820,19123649
1508072850,19123649
1508072880,19123649
1508072910,19123649
1508072940,19123649
1508072970,26792759
1508073000,26792759
1508073030,26792759
1508073060,26792759
1508073090,26792759
1508073120,11438879
1508073150,11438879
1508073180,11438879
1508073210,11438879
1508073240,11438879
1508073270,19082533
1508073300,19082533
1508073330,19082533
1508073360,19082533
1508073390,26667836
1508073420,26667836
1508073450,26667836
1508073480,26667836
1508073510,26667836
1508073540,11453383
1508073570,11453383
1508073600,11453383
1508073630,11453383
1508073660,11453383
1508073690,19036351
1508073720,19036351
1508073750,19036351
1508073780,19036351
1508073810,19036351
1508073840,26601634
1508073870,26601634
1508073900,26601634
1508073930,26601634
1508073960,11465348
1508073990,11465348
1508074020,11465348
1508074050,11465348
1508074080,11465348
1508074110,19003564
1508074140,19003564
1508074170,19003564
1508074200,19003564
1508074230,19003564
1508074260,26483509
1508074290,26483509
1508074320,26483509
1508074350,26483509
1508074380,11473179
1508074410,11473179
1508074440,11473179
1508074470,11473179
1508074500,11473179
1508074530,18930716
1508074560,18930716
1508074590,18930716
1508074620,18930716
1508074650,26380842
1508074680,26380842
1508074710,26380842
1508074740,26380842
1508074770,26380842
1508074800,11480057
1508074830,11480057
1508074860,11480057
1508074890,11480057
1508074920,18903280
1508074950,18903280
1508074980,18903280
1508075010,18903280
1508075040,18903280
1508075070,26324689
1508075100,26324689
1508075130,26324689
1508075160,26324689
1508075190,11487910
1508075220,11487910
1508075250,11487910
1508075280,11487910
1508075310,11487910
1508075340,18863680
1508075370,18863680
1508075400,18863680
1508075430,18863680
1508075460,26197688
1508075490,26197688
1508075520,26197688
1508075550,26197688
1508075580,11491266
1508075610,11491266
1508075640,11491266
1508075670,11491266
1508075700,18814277
1508075730,18814277
1508075760,18814277
1508075790,18814277
1508075820,18814277
1508075850,26090554
1508075880,26090554
1508075910,26090554
1508075940,26090554
1508075970,26090554
1508076000,11497862
1508076030,11497862
1508076060,11497862
1508076090,11497862
1508076120,11497862
1508076150,19209783
1508076180,19209783
1508076210,19209783
1508076240,19209783
1508076270,19209783
1508076300,26940413
1508076330,26940413
1508076360,26940413
1508076390,26940413
1508076420,26940413
1508076450,11495945
1508076480,11495945
1508076510,11495945
1508076540,11495945
1508076570,11495945
1508076600,19195698
1508076630,19195698
1508076660,19195698
1508076690,19195698
1508076720,19195698
1508076750,26834539
1508076780,26834539
